AverageY,AverageAction,PolicyRegParamNorm,AverageQ,AverageReturn,AveragePolicySurr,MaxReturn,QFunRegParamNorm,AverageEsReturn,AverageQLoss,MinEsReturn,AverageAbsQ,AverageDiscountedReturn,Iteration,AverageAbsQYDiff,MaxEsReturn,StdReturn,Epoch,AverageAbsY,MinReturn,StdEsReturn
1.3179586473,0.0395962,11.1815,-0.739108,12.1490316706,0.49722,12.7574122003,11.1656,13.9319549104,4.97487,1.36255046993,0.741793,11.4080046783,9,2.05706711873,109.714612313,0.244748200428,9,1.32213074491,11.4929922682,14.13439515
1.15068118847,0.857771,12.7161,1.13873,0.789165239357,-1.2043,41.8345315948,11.4131,2.17041104413,0.0650321,-0.876494739092,1.15659,1.05823229634,10,0.127458482607,18.6092108293,3.33458350939,10,1.17966931128,-0.427714258481,2.8077941502
1.49585241326,0.999998,13.9439,1.49486,38.8589133241,-1.60187,41.9866534608,11.8173,39.4783638664,0.0264463,0.922516773575,1.54896,34.5295320707,11,0.0915502236868,54.7118367703,0.911986879194,11,1.55150787706,36.6748486632,9.20561642142
2.23962128974,0.999994,14.0609,2.23839,38.7054520446,-2.46635,40.7241979104,12.8107,40.9599722848,0.0769378,5.24809869154,2.33794,34.4067687351,12,0.14160943246,60.8674976955,0.898084630688,12,2.3412815661,36.6264482623,7.03472976972
3.22684980809,0.999999,14.2673,3.22591,38.8466007243,-3.57143,41.675834967,14.3372,42.1234835777,0.148711,7.42527876344,3.34273,34.5181442071,13,0.189797626927,73.9448350318,0.934901066852,13,3.3453542,36.6415123785,8.30626975316
4.35976573415,0.806788,14.4305,4.35851,80.7453091054,-4.82645,82.1692932237,15.8387,45.5985726123,0.206705,36.7084354439,4.46627,64.6882751467,14,0.22826524136,103.342016358,0.62957066061,14,4.46871211632,79.2560178943,12.696486542
5.63342825522,0.697803,15.547,5.63148,173.547946546,-6.22158,176.997023555,17.3225,131.135723594,0.260548,24.6369876704,5.71933,112.236282551,15,0.258910715861,176.773879466,1.7340570355,15,5.7225610864,170.346113392,48.873863974
7.07898793188,0.700747,16.567,7.07658,172.875854138,-7.77525,175.575454417,18.7275,122.319136389,0.341537,3.65293137134,7.14683,111.923501418,16,0.287880118603,178.810109236,1.46842959212,16,7.15001600983,169.238776521,59.4809944597
8.65586175059,0.711592,17.8155,8.65323,171.737902702,-9.46681,174.276733539,20.0789,131.274778059,0.492329,8.89935846503,8.7116,111.188345885,17,0.339862688787,201.444225052,1.22608538601,17,8.71434548552,168.727104303,64.9142344003
10.2907845365,0.7192,18.96,10.2877,171.832775353,-11.2059,174.520574216,21.5994,143.879629137,0.690498,40.2528768923,10.3336,111.588665059,18,0.402286186785,183.334268405,1.85322249713,18,10.3357469602,165.928299762,47.7742780134
11.9685400233,0.703444,19.8041,11.9659,173.083359124,-12.9929,176.612894528,23.0232,148.095272094,0.833656,17.1427627489,12.006,111.907024095,19,0.442230769009,175.648961874,1.42003918826,19,12.0072751188,169.931997727,51.5996037811
13.8143725894,0.710926,20.61,13.8104,172.861272607,-14.9081,177.388547721,24.3464,139.817335327,0.908253,57.0920138667,13.8467,111.886979474,20,0.477077889255,204.085626301,1.52888305859,20,13.8475618229,170.059356792,48.6797312884
15.6371803838,0.718286,21.2616,15.634,172.119465055,-16.8463,174.628373051,25.6031,140.41769715,1.04395,70.5792118951,15.6676,111.73736603,21,0.499459237225,177.936538641,1.1166696012,21,15.6669433326,169.375999131,39.6266376149
17.4996624125,0.712272,21.9819,17.4958,170.685883243,-18.8186,173.159801034,26.9006,151.156041041,1.23246,86.9329282317,17.5267,110.954860228,22,0.539941732838,188.988760495,1.04991358572,22,17.525531668,167.756978526,31.9628716804
19.4137502568,0.777726,22.6306,19.4087,171.231624265,-20.7712,173.73427461,28.0053,169.188233721,1.41236,120.900044536,19.4398,111.101011082,23,0.569383856615,194.682310089,1.50176160475,23,19.4374404668,166.685054798,17.840843693
21.3080239424,0.603372,23.2825,21.3035,168.330262201,-22.7326,172.104818837,29.1818,152.947743302,1.51517,57.559662071,21.3341,109.037914273,24,0.610096606633,174.951261566,1.85086423922,24,21.3304270801,163.008723033,37.6151662387
23.2187915153,0.650302,24.0787,23.2149,175.420887071,-24.8575,195.953605938,30.2249,159.230018465,1.77833,3.9773261025,23.2451,111.142457398,25,0.637059288832,205.781103569,8.20695487967,25,23.2394707531,161.585213056,56.8411809266
