AverageAbsY,AverageAbsQ,MinReturn,QFunRegParamNorm,StdReturn,AverageReturn,AverageQLoss,PolicyRegParamNorm,MaxEsReturn,Iteration,AverageEsReturn,MaxReturn,AverageAction,AverageDiscountedReturn,AverageQ,AveragePolicySurr,StdEsReturn,MinEsReturn,AverageY,AverageAbsQYDiff,Epoch
0.959077764105,0.022016,14.0,10.5018,2.78633207456,17.9141323792,0.969311,10.4331,17.0,9,5.16856256463,26.0,0.00116636,16.4440467842,-0.0199682,-0.0384971,2.20920428196,2.0,0.959077764105,0.979045967752,9
1.15207255185,1.13635,2.0,11.2924,0.487633790227,2.38948626045,0.0188822,11.1729,9.0,10,2.82253521127,3.0,0.999996,2.37173548387,1.13634,-1.23201,0.731234184006,2.0,1.15207255185,0.0684401866106,10
1.57082003177,1.57024,2.0,12.6995,0.490093005962,2.40096038415,0.0142666,11.1733,7.0,11,2.79329608939,3.0,0.999996,2.38298127251,1.57024,-1.57593,0.580656319601,2.0,1.57082003177,0.0711997976507,11
1.97112043244,1.97023,30.0,14.5177,4.37898250232,36.1841155235,0.0234547,13.7096,53.0,12,6.0981595092,53.0,0.863693,30.4213162531,1.97023,-2.16633,7.68491049872,2.0,1.97112043244,0.0930827388212,12
2.66607350095,2.6653,29.0,16.361,1.35809954213,31.7746031746,0.0475686,15.5753,76.0,13,36.6666666667,36.0,0.883909,27.3307889806,2.6653,-3.08696,19.4117184921,3.0,2.66607350095,0.128946062217,13
3.33982912214,3.3388,44.0,18.1018,2.31917880602,49.7227722772,0.0678852,16.9045,83.0,14,31.0,57.0,0.913812,39.3141379333,3.3388,-3.93911,20.4781551588,4.0,3.33982912214,0.156474679423,14
4.05974825478,4.05894,59.0,19.9419,2.17514650712,64.4230769231,0.0903385,17.5709,98.0,15,39.7307692308,70.0,0.497849,47.6508698257,4.05889,-4.80271,22.2184221767,3.0,4.05974825478,0.179930574313,15
4.774987834,4.77415,88.0,21.6819,20.0663639401,113.761363636,0.128644,18.2397,122.0,16,39.48,191.0,0.456548,67.5331619278,4.77401,-5.673,28.2872692213,6.0,4.774987834,0.212232170913,16
5.57653690114,5.57609,67.0,23.3299,5.3855497756,77.8139534884,0.159883,18.9911,81.0,17,44.4545454545,90.0,0.541282,54.1866847582,5.57579,-6.61101,23.1079035529,8.0,5.57653690114,0.22704094004,17
6.40810592065,6.40696,68.0,24.8269,19.1045725433,94.641509434,0.18534,19.9149,117.0,18,40.72,203.0,0.177252,60.7636519568,6.40662,-7.56541,28.433107463,4.0,6.40810592065,0.241600073844,18
7.21985687979,7.21949,92.0,26.4089,16.8858359953,115.747126437,0.239924,20.8324,104.0,19,35.1724137931,171.0,0.392513,68.3340558071,7.21877,-8.49967,26.5915062476,4.0,7.21985687979,0.258538347749,19
8.09691355063,8.0968,67.0,27.9323,4.46576034213,75.4210526316,0.284935,21.4088,97.0,20,37.2222222222,91.0,0.235662,53.0936437285,8.09589,-9.43484,24.2660154573,5.0,8.09691355063,0.274134541228,20
8.92351328936,8.92262,55.0,29.4355,1.90647231247,59.1352941176,0.329152,21.8662,100.0,21,27.7777777778,65.0,0.257843,44.7966403404,8.92155,-10.3485,23.3048768276,3.0,8.92351328936,0.287159888489,21
9.76373243334,9.76399,66.0,30.9095,8.78885792744,77.0461538462,0.373899,22.142,94.0,22,30.4545454545,104.0,0.218672,53.7234753164,9.76234,-11.254,22.9268810194,4.0,9.76373243334,0.307458859081,22
10.4957583846,10.4961,53.0,32.2666,3.99276189263,61.1829268293,0.45414,22.4883,70.0,23,26.0526315789,75.0,0.201059,45.8878702827,10.4939,-12.1333,14.031819795,5.0,10.4957583846,0.326380246783,23
11.4233396835,11.4248,65.0,33.5441,2.79581988377,71.4113475177,0.48885,22.8895,115.0,24,39.84,80.0,0.222072,51.1938878305,11.4227,-13.1141,26.7487270725,4.0,11.4233396835,0.33420389542,24
12.2500996681,12.2505,62.0,34.8669,4.68564866777,70.3776223776,0.566883,23.1576,65.0,25,23.2325581395,91.0,0.263584,50.6499717164,12.2486,-13.9679,17.2987930878,3.0,12.2500996681,0.357932851838,25
13.0406454734,13.0413,58.0,36.2207,3.41071425498,64.2435897436,0.65315,23.4889,97.0,26,20.8163265306,79.0,0.20212,47.538416817,13.0381,-14.8485,17.4784689347,3.0,13.0406454734,0.374699186112,26
13.8742796372,13.876,48.0,37.4557,1.19672136645,50.8274111675,0.706695,23.8191,78.0,27,17.8727272727,54.0,0.260185,39.9960770451,13.8734,-15.7447,15.5447208758,3.0,13.8742796372,0.384887961309,27
14.6021011755,14.6033,51.0,38.7107,2.67464491017,54.989010989,0.886534,23.9987,67.0,28,22.5777777778,70.0,0.191684,42.4376718267,14.5991,-16.5676,17.3851646704,3.0,14.6021011755,0.418680037675,28
15.4382474549,15.4397,48.0,39.9619,1.64517391853,52.2083333333,0.93088,24.3801,50.0,29,20.3829787234,58.0,0.1945,40.8193186729,15.4359,-17.4641,13.7447137869,3.0,15.4382474549,0.438747864506,29
16.2583791608,16.2632,41.0,41.4066,0.676215961383,42.4322033898,1.05187,24.6671,57.0,30,19.75,44.0,0.145598,34.7167567554,16.2566,-18.3212,16.3505763248,3.0,16.2583783322,0.455489360836,30
16.8904066901,16.895,39.0,42.5738,0.878291179786,41.4132231405,1.00458,24.8923,66.0,31,18.537037037,44.0,0.139073,34.0437058225,16.8894,-19.114,14.8918483331,3.0,16.8903750902,0.444606884687,31
