AverageAbsQ,QFunRegParamNorm,AverageReturn,MinEsReturn,StdEsReturn,MaxReturn,PolicyRegParamNorm,MinReturn,AveragePolicySurr,AverageAbsQYDiff,MaxEsReturn,AverageY,Epoch,StdReturn,Iteration,AverageQLoss,AverageEsReturn,AverageAction,AverageDiscountedReturn,AverageAbsY,AverageQ
0.0673233,10.4467,20.2080808081,3.0,2.78242971929,48.0,10.4744,13.0,-0.117444,0.919901682782,25.0,0.980503916757,9,7.23677025968,9,0.864831,5.80034822983,0.000835292,18.1699743429,0.980503916757,0.0606022
1.12681,11.333,2.39120038259,2.0,0.804589003877,3.0,11.173,2.0,-1.2266,0.0576124399272,12.0,1.1418671933,10,0.488019101319,10,0.01612,2.83333333333,0.999979,2.37341549498,1.1418671933,1.1268
1.56741,13.0197,2.38720458343,2.0,0.468874530913,3.0,11.1846,2.0,-1.58092,0.0575832803019,4.0,1.56767287212,11,0.487111069471,11,0.0101141,2.79329608939,0.999983,2.36949921222,1.56767287212,1.56741
2.00775,15.0964,44.0969162996,2.0,7.34976662131,47.0,13.9004,42.0,-2.21805,0.0800246597931,47.0,2.00808896191,12,1.1339142013,12,0.0187423,5.69142857143,0.0145603,35.7972369467,2.00808896191,2.00775
2.74393,17.8623,66.9066666667,8.0,18.8687734695,75.0,15.256,61.0,-3.18688,0.116751363608,78.0,2.7444687238,13,3.13761409708,13,0.0402736,34.4285714286,0.793658,48.9282480773,2.7444687238,2.74393
3.4777,20.4879,68.1360544218,3.0,22.7957772611,79.0,16.3718,60.0,-4.08039,0.141602063919,107.0,3.47784127571,14,4.07854758692,14,0.0592926,31.09375,0.565794,49.5381646596,3.47784127571,3.47769
4.22623,23.0129,76.9461538462,8.0,19.5004132769,102.0,17.8501,65.0,-4.9766,0.175155612726,77.0,4.22650747451,15,6.65329477484,15,0.0905959,37.2592592593,0.256069,53.7514606368,4.22650747451,4.2262
5.0204,25.3312,91.2454545455,3.0,22.5488755958,168.0,19.0412,67.0,-5.9032,0.19662497751,89.0,5.02025841571,16,21.3674290637,16,0.119452,31.1818181818,0.208637,59.217268268,5.02025841571,5.02035
5.81984,27.4826,82.7520661157,3.0,18.2409023228,144.0,19.9944,57.0,-6.81181,0.222388486322,70.0,5.82045301633,17,17.3635321233,17,0.158378,24.5853658537,0.503187,55.84454565,5.82045301633,5.81946
6.59567,29.8096,55.9944134078,3.0,17.4788557113,121.0,20.7737,46.0,-7.7215,0.241734437451,90.0,6.59564690739,18,14.2842246879,18,0.197117,20.5217391304,0.164284,42.509351216,6.59564690739,6.5951
7.46495,32.0872,45.3891402715,3.0,14.0595064715,66.0,21.5554,42.0,-8.65513,0.259538983206,62.0,7.46460811483,19,3.5329950484,19,0.249863,17.2166666667,0.0888714,36.5914069828,7.46460811483,7.46395
8.25012,34.2894,90.4684684685,3.0,15.4767767417,227.0,22.2033,44.0,-9.55152,0.278277903509,61.0,8.24921987154,20,38.4423799124,20,0.299942,17.6724137931,0.294175,57.1113641331,8.24921987154,8.24897
9.01848,36.3428,326.75,3.0,11.652807773,954.0,22.7003,64.0,-10.4223,0.291969443006,67.0,9.01702557463,21,253.5528791,21,0.339934,15.3230769231,0.145843,83.6875782048,9.01705137746,9.01705
9.80268,38.4741,371.0,4.0,13.8365357739,1000.0,23.1962,66.0,-11.3058,0.309742502788,63.0,9.80192415736,22,251.535001825,22,0.414493,16.0166666667,0.168723,87.7021193083,9.80197785734,9.80116
10.6306,40.4876,124.975308642,3.0,11.6205730558,311.0,23.6467,45.0,-12.2281,0.337895526138,60.0,10.6288204148,23,57.7955048251,23,0.501781,14.3150684932,0.179438,66.8803623005,10.6288637618,10.6287
11.4336,42.5058,953.0,2.0,10.1159166447,1000.0,24.1535,716.0,-13.132,0.360205260502,58.0,11.4315932632,24,100.293206513,24,0.583035,13.5205479452,0.188037,99.9855724075,11.4316610254,11.4307
12.2244,44.3955,44.6651785714,3.0,12.2862904124,53.0,24.5389,38.0,-14.0144,0.38961265572,66.0,12.2214503908,25,2.96549230499,25,0.685857,13.8611111111,0.329719,36.1388048934,12.2215073327,12.2207
