MaxReturn,Iteration,AverageAbsY,AveragePolicySurr,StdReturn,Epoch,AverageAbsQ,QFunRegParamNorm,AverageAction,AverageY,AverageQLoss,PolicyRegParamNorm,AverageEsReturn,MaxEsReturn,AverageAbsQYDiff,AverageReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageQ,MinEsReturn
62.0,9,0.962217795598,-0.0441021,8.33278551444,9,0.0264101,10.5021,0.000953258,0.962217795598,0.982581,10.4335,5.14197530864,17.0,0.985211328431,26.3878627968,23.0324542701,16.0,2.17742046563,-0.0229935,2.0
3.0,10,1.14529366268,-1.22306,0.489140306833,10,1.12985,11.7345,0.999973,1.14529366268,0.0172249,11.1323,2.81971830986,12.0,0.0604743425207,2.39635753654,2.37847002157,2.0,0.812684599755,1.12985,2.0
3.0,11,1.55513206255,-1.5737,0.489621839923,11,1.55477,13.5348,0.999979,1.55513206255,0.0116214,11.1465,2.7027027027,6.0,0.0624120334133,2.39865675222,2.38072348285,2.0,0.563045044757,1.55477,2.0
146.0,12,1.96169685219,-2.12767,20.1057552413,12,1.96128,15.4618,0.000440607,1.96169685219,0.0192182,13.6772,6.30379746835,48.0,0.0817166774141,92.247706422,59.6584614764,63.0,8.06673813014,1.96128,2.0
67.0,13,2.63003639171,-3.0393,2.16149721173,13,2.62962,17.5172,0.404331,2.63003639171,0.0377041,15.1706,30.3333333333,145.0,0.112658808101,61.3292682927,45.9977120642,56.0,26.7838335078,2.62962,6.0
72.0,14,3.31038672224,-3.90952,2.16009398772,14,3.31027,19.5126,0.352722,3.31038672224,0.0583433,16.1891,22.3023255814,59.0,0.140572969663,67.5100671141,49.2502503882,63.0,13.8304263226,3.31023,4.0
69.0,15,4.01772160726,-4.80287,1.54743134514,15,4.01793,21.3225,0.369882,4.01772160726,0.0836569,17.1004,34.7586206897,99.0,0.164981543152,65.2012987013,48.0648477029,62.0,21.4068232313,4.01766,3.0
74.0,16,4.8011653653,-5.72201,2.05169805837,16,4.80105,23.0759,0.475043,4.8011653653,0.111612,18.0059,31.1818181818,91.0,0.189475719355,69.3862068966,50.1993120588,63.0,23.3192007575,4.80078,3.0
88.0,17,5.58554603786,-6.61454,5.79296782965,17,5.58674,24.8793,0.458467,5.58554603786,0.147157,18.8092,32.8620689655,77.0,0.209215281859,74.6865671642,52.7129595501,60.0,21.5817997043,5.58578,3.0
397.0,18,6.35260245651,-7.48526,32.8866203177,18,6.35386,26.676,0.739574,6.35260245651,0.175685,19.3071,30.9696969697,105.0,0.216328363429,95.6857142857,60.6133543793,75.0,26.993248144,6.35281,4.0
225.0,19,7.12197788554,-8.35072,20.06597397,19,7.12282,28.4088,0.553677,7.12197788554,0.217835,19.8444,30.5454545455,93.0,0.22835044608,107.623655914,65.5484654104,93.0,26.7378869874,7.12158,3.0
307.0,20,7.89239601372,-9.22011,39.1756805644,20,7.89425,30.1791,0.532296,7.89239601372,0.257195,20.2434,25.3421052632,72.0,0.240062907368,173.086206897,81.1096236588,99.0,17.6520109422,7.8926,3.0
46.0,21,8.69337761185,-10.101,0.897270235235,21,8.69535,31.7093,0.386292,8.69337761185,0.284565,20.9282,27.1538461538,93.0,0.251939004658,43.9561403509,35.7078955233,42.0,19.6345306259,8.6933,3.0
42.0,22,9.48129827996,-11.0147,0.920386871346,22,9.48405,33.394,0.378727,9.48125521883,0.372193,21.6297,25.6923076923,62.0,0.27819790936,39.6944444444,32.8942013229,38.0,16.6196575702,9.4817,3.0
48.0,23,10.3002018112,-11.936,1.61993440772,23,10.3029,34.8253,0.33605,10.3000237919,0.459683,22.1433,18.2181818182,55.0,0.304553530734,44.4203539823,36.0012701981,40.0,13.4606374415,10.2999,3.0
42.0,24,11.1327438765,-12.8268,1.00836605021,24,11.1358,36.2973,0.389583,11.1324005232,0.50589,22.568,20.2708333333,73.0,0.324205576337,39.8134920635,32.9738646451,37.0,16.2695261959,11.1319,2.0
