AverageQ,Iteration,AverageAbsQ,AverageAbsQYDiff,Epoch,AverageY,AverageDiscountedReturn,AverageAbsY,AverageReturn,StdEsReturn,QFunRegParamNorm,MaxEsReturn,AverageEsReturn,PolicyRegParamNorm,AverageQLoss,MinEsReturn,StdReturn,AverageAction,AveragePolicySurr,MaxReturn,MinReturn
-0.021796,9,0.024918,0.120119766852,9,0.0501350210549,14.062180057,0.111155442133,15.0889894419,2.16975342887,10.5012,17.0,5.16055756324,10.4335,0.0181908,2.0,1.43104431007,0.00197217,-0.00919352,19.0,13.0
0.126286,10,0.128558,0.0173210977023,10,0.126483847762,2.37678275862,0.130594851616,2.39463601533,0.970538224103,10.7995,16.0,2.78333333333,11.0789,0.000971717,2.0,0.488772371082,0.999954,-0.183776,3.0,2.0
0.194957,11,0.194994,0.0145771044429,11,0.194938404909,2.37341549498,0.194938404909,2.39120038259,0.539484639215,11.0904,7.0,2.78551532033,11.1126,0.000629197,2.0,0.488019101319,0.999976,-0.224382,3.0,2.0
0.22498,12,0.22498,0.0120294290189,12,0.224970563833,14.9554086867,0.224970563833,16.1207729469,2.94502804002,11.6069,34.0,3.45644599303,11.7604,0.00036631,2.0,0.699599642797,0.0245174,-0.234818,18.0,15.0
0.282602,13,0.282605,0.0178869837534,13,0.282684353223,39.3327814455,0.282684353223,49.7326732673,12.0235170196,12.5106,47.0,21.3404255319,13.41,0.000831057,4.0,1.12038791999,0.520185,-0.349442,52.0,47.0
0.362355,14,0.362366,0.020694567661,14,0.362395369064,47.4587221214,0.362395369064,64.0573248408,19.6158831556,13.4026,97.0,29.2647058824,14.5234,0.00112339,4.0,2.12129643756,0.366061,-0.441076,73.0,59.0
0.442153,15,0.442175,0.0207853997023,15,0.442216288173,44.927335017,0.442216288173,59.3609467456,20.9548542521,14.492,81.0,26.4054054054,15.3565,0.00132535,3.0,1.26627218935,0.148905,-0.534698,63.0,57.0
0.51471,16,0.514791,0.0210935830948,16,0.514802744508,38.172436537,0.514802744508,47.8468899522,17.4487207669,15.4957,66.0,32.1612903226,15.9637,0.00148086,3.0,1.05608394274,0.126072,-0.620484,50.0,44.0
0.594784,17,0.594874,0.0232352662017,17,0.594908085808,42.5136058958,0.594908085808,55.0934065934,20.4126122896,16.4877,67.0,29.8235294118,16.7709,0.00191761,3.0,1.29964510775,0.26087,-0.712166,58.0,51.0
0.678901,18,0.679029,0.0254835273511,18,0.679044524344,44.552565247,0.679054791368,58.7192982456,22.6741964284,17.4008,99.0,29.2285714286,17.504,0.00236453,3.0,2.87001672448,0.277449,-0.813091,68.0,53.0
