Iteration,AveragePolicySurr,AverageDiscountedReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,AverageAction,QFunRegParamNorm,MaxReturn,AverageAbsY,StdReturn,MaxEsReturn,AverageReturn,StdEsReturn,AverageY,MinReturn,AverageEsReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageQLoss
9,-0.042407,16.6035676342,0.123159911153,-0.0249356,0.0266172,0.00117638,10.5006,27.0,0.110900371164,2.9361776749,19.0,18.1084990958,2.28560891532,0.0611859422048,14.0,5.2335078534,2.0,9,10.4334,0.0201793
10,-0.175248,2.37397603444,0.0172432843386,0.128231,0.130262,0.999986,10.7754,3.0,0.132232125249,0.488146254377,16.0,2.39177230328,0.957131011535,0.128424838669,2.0,2.80952380952,2.0,10,11.2663,0.000937719
11,-0.216196,2.37622087623,0.0153954605205,0.192936,0.192944,0.999991,11.0791,3.0,0.192940956626,0.488648435634,9.0,2.39406272444,0.590367699851,0.192940956626,2.0,2.81408450704,2.0,11,11.3077,0.000652786
12,-0.245388,35.6877737882,0.0122496220056,0.218879,0.21888,0.20541,11.5796,51.0,0.218862970173,7.41372652795,44.0,44.2026431718,5.89047190146,0.218862970173,26.0,4.83574879227,2.0,12,12.7865,0.000372972
13,-0.352813,39.6082851876,0.0195344074696,0.297801,0.297805,0.322768,12.4264,58.0,0.297863647411,2.47909257592,65.0,50.21,18.3128402186,0.297863647411,45.0,26.1351351351,2.0,13,13.5743,0.000995656
14,-0.448136,51.7273827125,0.0203154828585,0.372233,0.372239,0.500288,13.3185,78.0,0.372332708272,2.31643897373,78.0,72.4927536232,19.3567068161,0.372332708272,66.0,28.3888888889,4.0,14,15.0677,0.00111169
15,-0.541641,51.4202742472,0.020328912784,0.451923,0.451954,0.726008,14.2931,94.0,0.451945831191,5.97474976028,124.0,72.0143884892,29.196524532,0.451945831191,57.0,31.4193548387,3.0,15,16.5268,0.00122292
16,-0.630037,50.0205840879,0.0221911468475,0.525747,0.525798,0.383276,15.3385,76.0,0.525822617346,2.55660297801,87.0,69.0413793103,23.9639306553,0.525822617346,62.0,29.8181818182,3.0,16,17.4267,0.00151732
17,-0.721607,44.5753094468,0.0236776218936,0.605678,0.605756,0.520501,16.3024,65.0,0.605765661828,2.17733992244,76.0,58.7426900585,20.3900442045,0.605765661828,54.0,31.6060606061,4.0,17,18.0184,0.00185057
18,-0.820389,42.5238978746,0.0256241435712,0.689701,0.689788,0.606637,17.2286,63.0,0.689846519532,2.1738877497,64.0,55.1263736264,17.1710766378,0.689846519532,51.0,26.7297297297,5.0,18,18.4372,0.00222982
19,-0.911252,40.0097413784,0.0283538550315,0.768459,0.768604,0.399554,18.2061,56.0,0.768612197401,2.00164842269,63.0,50.8629441624,16.272013062,0.768612197401,47.0,22.75,3.0,19,18.9082,0.00290837
20,-1.00216,42.7534878817,0.0300400095108,0.855287,0.855424,0.624279,19.1468,61.0,0.855390406185,2.42122620061,73.0,55.5303867403,17.5259807144,0.855390406185,50.0,25.2,3.0,20,19.4498,0.00355619
21,-1.08692,35.7636115703,0.0311667853736,0.933307,0.93356,0.734347,20.0627,50.0,0.933399228391,1.70431641543,59.0,44.0528634361,14.5931490776,0.933399228391,42.0,22.1333333333,3.0,21,19.9171,0.00394357
22,-1.17019,33.1650273611,0.0342549619932,1.01297,1.01319,0.34238,20.9383,43.0,1.01310158533,1.21737422348,58.0,40.1,15.7970123758,1.01310158533,38.0,20.12,4.0,22,20.4224,0.00469255
23,-1.25446,33.1073458026,0.0373663115894,1.08415,1.08448,0.221295,21.8224,44.0,1.08438223355,1.02560031201,90.0,40.012,17.6511565353,1.08438223355,38.0,21.9565217391,3.0,23,20.8314,0.00561545
24,-1.34278,30.6392819151,0.0390169092457,1.16491,1.16536,0.17242,22.7969,39.0,1.16505966972,1.05207233513,50.0,36.4072727273,15.2181416978,1.16505966972,35.0,20.1428571429,2.0,24,21.0944,0.00638301
25,-1.42755,28.6749262001,0.0402076387924,1.24024,1.24085,0.11296,23.6434,34.0,1.2403500339,0.484338753092,70.0,33.6241610738,15.0664643201,1.2403500339,33.0,18.2727272727,3.0,25,21.439,0.00700806
26,-1.50919,31.7428416829,0.0447478269871,1.31654,1.31722,0.151185,24.4029,44.0,1.31675576073,1.41686921255,45.0,38.0075757576,12.323847258,1.31675576073,35.0,16.1612903226,3.0,26,21.7677,0.0093979
27,-1.59041,31.0230618868,0.0459814032193,1.38877,1.38956,0.273469,25.1706,39.0,1.38903191122,1.0566142152,48.0,36.9594095941,12.9708144718,1.38902430572,33.0,17.5892857143,3.0,27,22.1266,0.0102047
28,-1.6759,28.679622759,0.0479756622157,1.46349,1.46464,0.0748042,25.7813,35.0,1.46357035765,0.516168034767,51.0,33.6308724832,11.9245074343,1.46356534915,33.0,18.1428571429,4.0,28,22.4693,0.0111251
29,-1.76282,29.2471873736,0.0497289575124,1.54109,1.54238,0.0899966,26.4622,36.0,1.54137567409,0.565811499543,61.0,34.4261168385,12.3696101844,1.54137047247,34.0,16.3278688525,3.0,29,22.809,0.0125798
30,-1.84916,29.9642694317,0.0534826364757,1.62557,1.62724,0.130432,27.2656,37.0,1.62584024715,0.848586406906,67.0,35.4416961131,13.6931531003,1.62581431344,34.0,16.4576271186,3.0,30,23.1667,0.0145465
31,-1.92648,30.0213475858,0.054110459782,1.68991,1.69173,0.160404,27.9839,37.0,1.69007764667,0.642392305254,51.0,35.5212765957,11.9390031375,1.68998565309,35.0,14.7857142857,3.0,31,23.4827,0.0149747
32,-2.01314,29.280324055,0.0579126345471,1.76273,1.76488,0.115731,28.8051,38.0,1.76308241728,0.787699030717,47.0,34.4742268041,12.4210030726,1.76299608396,33.0,17.4385964912,3.0,32,23.7867,0.0171549
33,-2.09102,30.822041167,0.0565668872531,1.84474,1.84702,0.174919,29.4712,46.0,1.84507517222,2.52153041482,43.0,36.695970696,8.61935418872,1.84499209912,32.0,11.6627906977,3.0,33,24.1998,0.0162614
34,-2.18317,33.7675962048,0.0608902791086,1.92213,1.92431,0.202006,30.1893,50.0,1.92221125875,2.13089531925,51.0,41.0163934426,8.43869813997,1.92217801463,37.0,11.8117647059,3.0,34,24.5768,0.0184367
35,-2.26328,37.0746005461,0.0668054244018,1.99969,2.00199,0.186862,30.8045,58.0,2.00017409087,4.11882584837,41.0,46.1751152074,9.50975048428,2.00006054151,37.0,13.3243243243,3.0,35,25.0762,0.0243895
