AverageAction,StdEsReturn,AverageDiscountedReturn,AverageAbsQYDiff,AverageReturn,AverageAbsY,AverageEsReturn,MaxReturn,Iteration,AveragePolicySurr,PolicyRegParamNorm,AverageAbsQ,QFunRegParamNorm,AverageY,AverageQ,Epoch,MinReturn,StdReturn,MinEsReturn,AverageQLoss,MaxEsReturn
0.0411272,2.38444286625,8.01293027516,0.145892902525,8.31146179402,0.120359092038,5.35978552279,9.0,9,-0.144923,18.7979,0.0293683,18.7834,0.120359092038,-0.0255338,9,8.0,0.463091076232,2.0,0.0229776,23.0
0.999977,0.824224855101,2.40282352941,0.0145105565213,2.42120551924,0.135507177813,2.82768361582,3.0,10,-0.152227,20.0781,0.135273,19.1664,0.135507177813,0.13516,10,2.0,0.493752397263,2.0,0.000726937,11.0
0.999987,0.495653458433,2.3849129505,0.0148517448345,2.40293128304,0.204214401129,2.75482093664,3.0,11,-0.220488,20.1497,0.204197,19.8813,0.204214401129,0.204172,11,2.0,0.490487170257,2.0,0.000621302,5.0
0.0528275,5.99562526469,24.2912598259,0.0121069975049,27.6906077348,0.240187355129,4.38596491228,29.0,12,-0.266988,25.4799,0.240145,20.98,0.240187355129,0.240145,12,26.0,0.679917256703,2.0,0.000403857,56.0
0.762891,13.6699183124,39.8805007374,0.0154723053024,50.6363636364,0.316010117432,32.0,54.0,13,-0.381574,28.5535,0.315926,22.4597,0.316010117432,0.315925,13,48.0,1.23054184874,4.0,0.000629656,52.0
0.896545,18.0248272816,49.0040527445,0.0170705580378,69.2344827586,0.391131269357,29.8787878788,159.0,14,-0.466489,31.655,0.391089,23.9431,0.391131269357,0.391086,14,37.0,22.1044585277,3.0,0.000819153,68.0
0.770226,15.857310416,34.2715931746,0.0198689181058,41.7916666667,0.467945761222,27.5789473684,49.0,15,-0.558333,32.5074,0.467844,25.2902,0.467945761222,0.46783,15,35.0,2.74589339843,3.0,0.00126109,59.0
0.657354,17.8956973418,36.2692437981,0.0212515772991,44.8303571429,0.543571130622,32.2580645161,48.0,16,-0.648398,34.1021,0.543527,26.6705,0.543571130622,0.54349,16,41.0,1.06392461516,4.0,0.00154755,58.0
0.504798,15.8653698645,41.3526643317,0.0237472543066,53.1746031746,0.621548329317,30.09375,61.0,17,-0.734302,35.6207,0.621479,27.9657,0.621548329317,0.621446,17,44.0,3.96628522592,4.0,0.00203518,56.0
0.76716,18.2488254738,41.4497463172,0.0254459386231,53.2872340426,0.697383117484,25.1707317073,60.0,18,-0.820819,37.0432,0.697363,29.1522,0.697383117484,0.697285,18,44.0,2.30689226535,3.0,0.00235223,63.0
0.694598,17.117661084,44.5693472855,0.0286692821101,58.783625731,0.772093088658,22.3111111111,68.0,19,-0.903843,38.3978,0.772052,30.2873,0.772093088658,0.77197,19,50.0,3.87599762826,4.0,0.00314651,73.0
0.620271,18.6757206373,60.9381604484,0.0301130918314,96.0285714286,0.851770507493,22.8863636364,168.0,20,-0.995527,39.7939,0.851839,31.5253,0.851770507493,0.851666,20,66.0,23.3403215969,3.0,0.00388658,69.0
