PolicyRegParamNorm,AveragePolicySurr,MaxReturn,AverageAction,AverageQLoss,Epoch,AverageReturn,AverageY,AverageAbsY,AverageAbsQYDiff,Iteration,MinEsReturn,MinReturn,AverageAbsQ,StdEsReturn,AverageEsReturn,StdReturn,AverageQ,AverageDiscountedReturn,QFunRegParamNorm,MaxEsReturn
18.7977,-0.154138,9.0,0.0404147,0.0219847,9,8.31255195345,0.118116337619,0.118116337619,0.143482066975,9,3.0,8.0,0.028562,2.43180491926,5.36842105263,0.463533418261,-0.0253657,8.01393621399,18.7832,24.0
20.085,-0.153596,3.0,0.999977,0.000673267,10,2.40096038415,0.133865367051,0.133865367051,0.0141232561533,10,2.0,2.0,0.133625,0.598523608406,2.82535211268,0.490093005962,0.13353,2.38298127251,19.1637,6.0
20.0851,-0.211151,3.0,0.999977,0.000520804,11,2.41080038573,0.20280916864,0.20280916864,0.0135260960729,11,2.0,2.0,0.202796,0.564376815598,2.76454293629,0.491979093879,0.202789,2.39262545805,20.1001,6.0
24.8497,-0.263726,85.0,0.91282,0.000402677,12,54.2432432432,0.236363642718,0.236363642718,0.012029631456,12,2.0,43.0,0.236287,6.86588371357,5.39130434783,7.07414556164,0.236287,41.8823713303,21.253,43.0
28.1388,-0.368063,56.0,0.720681,0.00064706,13,41.7125,0.311647318668,0.311647318668,0.0154957733738,13,3.0,37.0,0.311584,22.2983881087,35.8214285714,2.95180912041,0.311583,34.2158490538,22.845,102.0
31.0573,-0.457627,72.0,0.614671,0.000912251,14,59.349112426,0.385493769566,0.385493769566,0.0172979495653,14,4.0,45.0,0.385423,17.9174085897,25.6923076923,5.25807486474,0.385416,44.8480840684,24.5228,75.0
33.2548,-0.555445,46.0,0.512993,0.00131486,15,43.7903930131,0.465616572517,0.465616572517,0.0198991130964,15,3.0,41.0,0.465514,20.0523725636,26.1842105263,0.851248414394,0.465492,35.6009660985,25.9906,72.0
34.8184,-0.635903,48.0,0.0628308,0.00179966,16,46.5441860465,0.541993760906,0.541993760906,0.0224357409685,16,3.0,45.0,0.541949,17.5029793382,28.6,0.551236380133,0.541881,37.360201755,27.3695,57.0
36.336,-0.719139,47.0,0.176294,0.00226145,17,42.0924369748,0.612601114061,0.612601114061,0.0245123264182,17,3.0,40.0,0.612557,21.1371396022,26.2432432432,0.939261256633,0.6125,34.492058693,28.5176,97.0
37.0943,-0.806473,47.0,0.274126,0.00286697,18,43.9780701754,0.689742843491,0.689742843491,0.0266307327615,18,3.0,42.0,0.689756,15.5091706742,25.625,0.840035376441,0.689627,35.7223873003,29.689,62.0
37.9353,-0.895041,37.0,0.0527623,0.00350864,19,36.035971223,0.765846143483,0.765846143483,0.0281336792807,19,3.0,35.0,0.765902,10.7319942942,17.3035714286,0.29161105323,0.765732,30.3835519031,30.8293,47.0
