AveragePolicySurr,StdReturn,Iteration,MaxReturn,AverageY,MaxEsReturn,AverageAction,AverageAbsY,Epoch,PolicyRegParamNorm,MinEsReturn,AverageReturn,AverageEsReturn,AverageDiscountedReturn,MinReturn,StdEsReturn,AverageAbsQ,AverageQ,QFunRegParamNorm,AverageAbsQYDiff,AverageQLoss
0.0526454,8.73494933974,9,59.0,0.120191389954,19.0,7.0648e-05,0.120191389954,9,10.5172,2.0,29.2514619883,5.11668372569,25.1918532799,19.0,2.13794926929,0.141326,-0.141326,10.4978,0.261517665056,0.0855906
-0.130743,0.0,10,3.0,0.120664705732,52.0,0.921933,0.120664705732,10,12.3271,2.0,3.0,3.47222222222,2.9701,3.0,3.50484673235,0.120368,0.12015,10.6299,0.00894932314304,0.000412445
-0.18408,1.03613320302,11,22.0,0.160439943237,28.0,0.397401,0.160439943237,11,13.2521,2.0,18.7636022514,3.78244274809,17.1821116881,15.0,3.39431453054,0.160404,0.160387,10.7908,0.0101412830851,0.000286094
-0.250981,12.9858059263,12,101.0,0.221520815271,86.0,0.635064,0.221520815271,12,14.9599,5.0,67.0466666667,31.3125,48.6037548368,50.0,20.0646416302,0.221504,0.221501,11.3708,0.0135802965891,0.000476956
-0.335683,0.795185651731,13,49.0,0.289485987641,125.0,0.224772,0.289485987641,13,15.7332,3.0,47.3820754717,36.0740740741,37.8844500715,46.0,28.7723194213,0.289432,0.289432,12.09,0.0158562851851,0.000672769
-0.4295,0.862913905418,14,59.0,0.362691740782,89.0,0.071127,0.362691740782,14,16.7112,3.0,57.2228571429,29.2571428571,43.7335270739,55.0,19.436846977,0.362636,0.362629,12.9208,0.017914154767,0.000917366
-0.518044,2.78296567697,15,95.0,0.442930462439,76.0,0.727944,0.442930462439,15,18.3967,12.0,89.5714285714,37.1111111111,59.3362403694,85.0,17.6243378301,0.442821,0.442804,13.8492,0.0198492405236,0.00124348
-0.606744,2.22756257644,16,60.0,0.521696967244,82.0,0.680225,0.521696967244,16,20.2837,7.0,52.502617801,41.2173913043,40.9874459727,49.0,26.1799068682,0.52166,0.52163,14.8163,0.0201135533376,0.00137807
-0.698762,39.9064926239,17,256.0,0.601115132811,136.0,0.42478,0.601115132811,17,21.4357,9.0,107.795698925,42.3043478261,63.6415794574,61.0,30.4765551839,0.601108,0.601057,15.8399,0.0222690659069,0.00174263
-0.789939,6.1277499727,18,81.0,0.681896415253,121.0,0.313823,0.681896415253,18,22.8078,6.0,59.7857142857,38.1785714286,45.0651766098,52.0,26.1316086261,0.681926,0.681782,16.8263,0.0231341349171,0.00191856
-0.887874,2.08722358676,19,56.0,0.767246405142,62.0,0.26927,0.767246405142,19,23.8465,4.0,51.4205128205,21.9565217391,40.3439021472,47.0,15.4229593418,0.767245,0.767125,17.8249,0.0250347970298,0.00247682
-0.98142,0.817516564562,20,43.0,0.855615446117,73.0,0.204596,0.855615446117,20,24.4205,3.0,41.7,21.8913043478,34.2338691868,39.0,16.449168422,0.855704,0.855497,18.8489,0.0272831158488,0.00308242
-1.07321,1.01133459787,21,41.0,0.941039687082,61.0,0.163458,0.941039687082,21,24.8496,3.0,38.4061302682,18.9615384615,32.0190680012,36.0,13.4935334063,0.941155,0.940939,19.8883,0.02996122099,0.00392598
-1.16361,2.20634182707,22,51.0,1.01908295601,64.0,0.277172,1.01908295601,22,25.2096,3.0,44.9551569507,18.9811320755,36.3371658439,40.0,13.2927708627,1.01934,1.01901,20.8475,0.0319910784859,0.00464429
-1.24968,0.417615341588,23,38.0,1.10058692056,73.0,0.225922,1.10058692056,23,25.9684,3.0,36.8125,17.1016949153,30.9244368658,35.0,11.9500300195,1.10082,1.10034,21.711,0.0336344471637,0.00548492
-1.33936,0.382472657344,24,40.0,1.17801370942,49.0,0.209831,1.17801370942,24,26.3887,2.0,38.9260700389,19.3529411765,32.3763682739,38.0,14.285360022,1.17858,1.17795,22.6903,0.0378180005682,0.0071585
-1.433,0.447895896871,25,37.0,1.26123732911,60.0,0.154556,1.26123732911,25,26.7631,3.0,36.0287769784,16.7166666667,30.3781115702,35.0,12.7358963389,1.26179,1.26108,23.5301,0.0395399891502,0.00761975
