AverageAction,MinReturn,MaxReturn,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,MinEsReturn,AverageAbsQ,AverageQLoss,StdReturn,Iteration,PolicyRegParamNorm,AverageEsReturn,AveragePolicySurr,AverageReturn,StdEsReturn,Epoch,AverageAbsY,AverageY,AverageAbsQYDiff,MaxEsReturn
0.00273876,12.0,16.0,12.4788110539,10.5005,-0.0296988,2.0,0.0314899,0.0126702,1.06914979554,9,10.4332,5.16425619835,-0.00777509,13.2679045093,2.21422039721,9,0.0717464401087,-0.0293024769842,0.0824885056927,20.0
0.999962,2.0,3.0,2.38604521635,10.6783,0.0176823,2.0,0.0346141,0.000734092,0.490714385255,10,11.298,2.84090909091,-0.0604873,2.40408653846,0.697175529554,10,0.0332936465242,0.0177394279519,0.0142132641302,11.0
0.999989,2.0,3.0,2.36917472554,10.8392,0.0511783,2.0,0.0525497,0.000385736,0.487034287179,11,11.471,2.80112044818,-0.0850857,2.38687350835,0.547158567599,11,0.0511697152831,0.0511697152831,0.0105888176448,7.0
0.999859,2.0,3.0,2.37108497731,10.9665,0.0530491,2.0,0.053478,8.49902e-05,0.48748289582,12,11.3551,2.81408450704,-0.0599593,2.38882254598,0.683259745765,12,0.0530088355816,0.0530088355816,0.00585421371856,10.0
0.0630962,19.0,22.0,18.6791900692,11.2294,0.0488987,2.0,0.0491181,6.24057e-05,0.578560086374,13,12.6498,10.8260869565,-0.0697485,20.5749486653,8.61571957636,13,0.0488949162674,0.0488948993456,0.00508888209542,52.0
0.818989,38.0,47.0,33.0167542375,11.4925,0.0607636,3.0,0.0611082,8.94478e-05,1.3034039753,14,13.6113,16.1612903226,-0.0815498,39.8804780876,9.95504985874,14,0.0607954082571,0.0607954082571,0.00649900948945,46.0
0.0610353,44.0,47.0,36.7133646675,11.8071,0.0733184,4.0,0.0735569,9.44597e-05,0.670435284777,15,14.3363,25.4615384615,-0.0951438,45.5227272727,13.9409857906,15,0.0733181001485,0.0733181001485,0.00636620940884,51.0
0.044411,43.0,46.0,36.0554896515,12.1413,0.0826079,3.0,0.0828229,8.78271e-05,0.604575149267,16,14.5341,27.1081081081,-0.105364,44.4933333333,14.3259050632,16,0.0826135705984,0.0826135705984,0.00617503090591,51.0
0.0640436,44.0,47.0,36.4743718734,12.6002,0.0925706,3.0,0.0927792,0.000104191,0.800041087331,17,15.2243,20.0625,-0.115756,45.1486486486,15.460172285,17,0.0925803480965,0.0925803480965,0.00655821399341,68.0
0.118623,39.0,42.0,33.2688803505,13.0878,0.102262,6.0,0.102441,9.35e-05,0.582758462561,18,15.9875,26.4615384615,-0.126209,40.2489959839,15.1112899784,18,0.102276951784,0.102276951784,0.00598810035936,66.0
