MaxEsReturn,AverageAbsQ,AverageReturn,AverageAbsQYDiff,StdReturn,QFunRegParamNorm,AverageQLoss,AverageY,AverageEsReturn,MaxReturn,PolicyRegParamNorm,Epoch,StdEsReturn,AverageQ,AveragePolicySurr,Iteration,MinEsReturn,AverageAction,AverageAbsY,AverageDiscountedReturn,MinReturn
17.0,0.0266469,38.5346153846,0.987973378049,12.5134832606,10.5018,0.989002,0.964607644184,5.13405238829,77.0,10.4332,9,2.16950100969,-0.0233657,-0.0466883,9,2.0,0.00225261,0.964607644184,31.5903464631,20.0
17.0,1.13344,2.38379022646,0.0633783249798,0.486307812536,11.5879,0.0177348,1.14881106552,2.88218390805,3.0,11.1503,10,0.974044684107,1.13344,-1.22471,10,2.0,0.999969,1.14881106552,2.36615280095,2.0
8.0,1.56143,2.38915432394,0.06340083347,0.487558443777,13.263,0.0116489,1.5619801139,2.72479564033,3.0,11.1752,11,0.602457183964,1.56143,-1.58192,11,2.0,0.999977,1.5619801139,2.37141015289,2.0
40.0,1.97338,37.6240601504,0.0812552393492,1.11450790759,15.0739,0.0184587,1.97373077246,6.02424242424,40.0,14.1726,12,7.14096293918,1.97338,-2.14452,12,2.0,0.0194176,1.97373077246,31.4818662198,35.0
71.0,2.65257,52.4764397906,0.117970236806,1.81564460602,17.2636,0.0403788,2.6530901962,31.3125,57.0,16.0297,13,16.7545469575,2.65257,-3.09121,13,8.0,0.138443,2.6530901962,40.9767801533,48.0
84.0,3.35659,104.520833333,0.145527159278,13.0319952158,19.2641,0.060897,3.35690402366,29.25,146.0,17.5734,14,18.8513925215,3.35659,-3.98992,14,6.0,0.805159,3.35690402366,64.7298840404,82.0
91.0,4.09669,63.9108280255,0.180457333256,1.39323111685,21.0574,0.0885095,4.09666758564,44.6956521739,67.0,19.0703,15,24.9528856615,4.09669,-4.89869,15,4.0,0.477662,4.09666758564,47.3880615496,60.0
89.0,4.87579,65.5882352941,0.211295899386,2.85494505462,22.8511,0.12183,4.87618247831,33.3225806452,75.0,20.4159,16,24.0005202857,4.87573,-5.80946,16,5.0,0.26133,4.87618247831,48.2515086921,60.0
67.0,5.65957,88.3421052632,0.230196855746,6.42340695981,24.6796,0.15895,5.65914368351,32.0666666667,106.0,21.6457,17,20.712207887,5.65927,-6.68974,17,4.0,0.210649,5.65914368351,58.7623138336,77.0
82.0,6.44331,53.6524064171,0.243199740161,2.0714592458,26.5341,0.190459,6.44255933246,30.1764705882,59.0,22.9405,18,20.9431591923,6.44273,-7.63173,18,3.0,0.179834,6.44255933246,41.6673728638,50.0
101.0,7.23512,50.6363636364,0.257762127775,2.52444431511,28.3709,0.235007,7.23439242349,25.4615384615,58.0,23.7051,19,22.6397043492,7.23413,-8.52199,19,4.0,0.144609,7.23439242349,39.8658492194,45.0
51.0,8.03729,47.8142857143,0.268894282801,2.10866369652,30.1476,0.269168,8.03553329596,19.98,55.0,24.2063,20,13.525516626,8.03595,-9.4767,20,3.0,0.125289,8.03553329596,38.1418320738,43.0
67.0,8.90751,48.0769230769,0.279408912583,3.13691515448,31.899,0.313682,8.90512954738,19.2830188679,59.0,24.7462,21,13.8160111636,8.90544,-10.4387,21,3.0,0.133599,8.90512954738,38.28828931,43.0
67.0,9.74806,48.5555555556,0.301993663873,2.77594142199,33.6974,0.366206,9.74478005985,20.9130434783,57.0,25.337,22,16.6195616629,9.74544,-11.3601,22,3.0,0.127118,9.74478005985,38.5908229045,40.0
67.0,10.595,46.7757009346,0.342178658212,2.53870380944,35.291,0.494926,10.590164316,21.2857142857,54.0,25.9458,23,15.4629247174,10.5904,-12.3281,23,3.0,0.148884,10.5901853624,37.4864419386,42.0
