AverageQ,StdEsReturn,AverageDiscountedReturn,MinEsReturn,AverageAction,AverageEsReturn,AverageAbsQYDiff,MaxReturn,Epoch,AverageQLoss,AveragePolicySurr,MinReturn,PolicyRegParamNorm,AverageAbsQ,StdReturn,AverageY,AverageReturn,MaxEsReturn,QFunRegParamNorm,Iteration,AverageAbsY
0.0162883,55.0507852508,-0.094257877597,-33.7537545686,0.00943986,11.4814379731,0.0367484032491,-0.93270180743,9,0.0024547,-0.0305446,-0.966689462355,10.2595,0.0346864,0.0110141202424,0.0130634612681,-0.94304190613,93.9051150629,10.3167,9,0.0316247722512
0.0237665,0.0,-0.0639029302014,-23.5629501831,0.00640099,-23.5629501831,0.0682986784339,-0.627913885866,10,3.01642,-0.0555301,-0.642904470234,11.3325,0.0548523,0.00497822055395,0.0353484137089,-0.639458920835,-23.5629501831,15.0339,10,0.0617318944602
0.061028,1.62229634885,-0.0187950638587,-29.5744336964,0.00188371,-27.9521373475,0.0939679602337,-0.186494098895,11,3.00609,-0.0969984,-0.19158850516,12.5182,0.100206,0.00172594202907,0.0634003327655,-0.188182170056,-26.3298409987,22.9128,11,0.0910484421166
0.00902223,41.8790490489,-0.043719039798,-0.0092229212951,0.00437209,41.8698261276,0.0719958746637,-0.436772254049,12,1.88809,-0.0471668,-0.436772254049,13.3809,0.160855,0.0,0.00973236011579,-0.436772254049,83.7488751765,27.0028,12,0.155199206516
-0.0183265,0.0,-0.224908580319,-15.1760116087,0.0224915,-15.1760116087,0.0737628467655,-2.2398188836,13,1.63718,-0.0176307,-2.26526062142,14.186,0.233077,0.0083110781688,-0.0159525444954,-2.24689885741,-15.1760116087,33.371,13,0.231736188121
-0.0361403,0.5335451004,-0.0191150238522,-26.5669159511,0.00186075,-26.0333708507,0.0585906755437,-0.181632737947,14,0.933985,-0.00281405,-0.198732883723,14.952,0.290103,0.00437918593964,-0.0342900317774,-0.185889400389,-25.4998257503,39.2248,14,0.290299038921
-0.0274674,40.2666396395,-9.3577348457e-05,-0.0445759369476,8.61737e-06,40.2220637026,0.0590997927469,-1.89682276321e-06,15,0.559213,-0.012395,-0.00289291289263,15.6024,0.345636,0.000900409408345,-0.0256163274564,-0.00086087536466,80.4887033421,43.9002,15,0.346369644848
0.0485,0.0,-0.29624867425,-9.30205819865,0.0296978,-9.30205819865,0.0569076627442,-2.96045367228,16,0.327377,-0.0916875,-2.97979641263,16.4141,0.439475,0.00651434292726,0.0491978310421,-2.96680972621,-9.30205819865,47.0961,16,0.438752622971
0.0529187,49.4318643422,-0.173343149211,-25.4183466403,0.0178634,24.0135177019,0.039120097251,-1.70989509594,17,0.115758,-0.0949092,-1.8291753564,18.0585,0.44377,0.0451720247776,0.0530673587058,-1.78455121775,73.4453820441,48.5241,17,0.443071619319
0.12978,43.6442680201,-0.0211518414806,-4.62985086939,0.00213901,57.0457189601,0.0343503594575,-0.205496700199,18,0.0641785,-0.172596,-0.218974539968,18.805,0.509384,0.00546669066732,0.129685346805,-0.213687569507,89.9634705008,50.6739,18,0.508383758244
