AverageAbsQ,AverageQLoss,StdReturn,StdEsReturn,AverageAbsQYDiff,AverageQ,AverageY,MinReturn,AverageAction,AverageEsReturn,MaxReturn,AverageReturn,MinEsReturn,Epoch,PolicyRegParamNorm,AverageDiscountedReturn,AveragePolicySurr,AverageAbsY,MaxEsReturn,QFunRegParamNorm,Iteration
0.0350421,0.00230151,0.0245715618225,58.294607795,0.0354373655832,0.0160733,0.0122648395649,-2.3077275237,0.0227059,18.6914549481,-2.24160999159,-2.26832096968,-33.6874916273,9,10.2622,-0.22682097014,-0.0271927,0.0304719024194,93.8856243996,10.3161,9
0.0828686,4.89398,0.00911521291325,0.0,0.113068084062,0.040856,0.058129829192,-1.73865375,0.0171991,-23.7807822139,-1.71169964305,-1.71819480932,-23.7807822139,10,10.9685,-0.172011112395,-0.0736037,0.0865691805533,-23.7807822139,22.6645,10
0.119556,2.40598,0.00298057236788,1.5986447124,0.0933622821512,0.078176,0.0804128962378,-0.499175888896,0.00495384,-27.6663028112,-0.491311556933,-0.494888616598,-29.2649475236,11,11.0567,-0.0495214412797,-0.113825,0.103641061973,-26.0676580988,31.1487,11
0.196306,2.18896,0.00068178371006,39.4919206797,0.106931066765,0.0956257,0.0989662006327,-0.335878640286,0.00334964,68.3094415808,-0.333729876435,-0.334629514084,-0.0109580472274,12,12.0041,-0.0334990623432,-0.128306,0.182601865802,94.190979952,38.6317,12
0.283214,1.5878,0.000974896365959,0.0,0.108423076563,0.125538,0.127088628945,-0.0482687929861,0.000462099,-3.84167765994,-0.045460254313,-0.0461636794658,-3.84167765994,13,13.2206,-0.00463067969289,-0.156174,0.270629923069,-3.84167765994,44.7192,13
0.318735,0.704225,0.0208358473073,0.421261716119,0.0780538272011,0.128124,0.128830893942,-0.373449002286,0.00343014,-26.4128622142,-0.321116018055,-0.342671060591,-26.8341239303,14,13.8848,-0.0344297417734,-0.159668,0.313049382574,-25.991600498,47.5996,14
0.36565,0.297648,7.61132778077e-05,0.0,0.0635238711919,0.162647,0.162989235803,-0.689184426394,0.00689777,-0.0332549746399,-0.688923343318,-0.689087538095,-0.0332549746399,15,14.2484,-0.0689780349498,-0.192426,0.358894790267,-0.0332549746399,49.7152,15
0.441543,0.146396,0.0,58.2145768174,0.0496612061551,0.23414,0.233797395382,-1.23014760169,0.0123138,30.3994133893,-1.23014760169,-1.23014760169,-27.8151634281,16,14.9447,-0.123132528354,-0.268143,0.435173962408,88.6139902067,51.2223,16
0.464514,0.0738656,2.77555756156e-17,0.0,0.0371002069732,0.250805,0.25126474549,-0.166007872706,0.00166174,-16.3330896124,-0.166007872706,-0.166007872706,-16.3330896124,17,15.7623,-0.0166166800348,-0.289508,0.460239091863,-16.3330896124,53.1725,17
0.511175,0.0466401,0.00498812433605,55.5732192176,0.030650316226,0.303085,0.303647813059,-0.90625292237,0.0089865,48.0277263529,-0.891817215917,-0.897751375757,-30.5208082243,18,16.7747,-0.0898827639308,-0.356534,0.507798220326,89.5757192487,55.5386,18
