AverageAction,Iteration,PolicyRegParamNorm,MinEsReturn,MaxEsReturn,AverageY,AverageQ,AverageQLoss,StdReturn,Epoch,AverageReturn,AverageAbsQYDiff,MaxReturn,QFunRegParamNorm,AveragePolicySurr,MinReturn,AverageEsReturn,AverageAbsQ,AverageDiscountedReturn,StdEsReturn,AverageAbsY
0.00308174,9,10.275,-29.6073793316,93.9884098055,0.0316533129152,-0.00283964,0.00152557,0.00109571434262,9,-0.307865343422,0.0348265641713,-0.306956609383,10.2516,-0.041038,-0.310951468941,38.5125704751,0.0105463,-0.0308002454426,57.4842399404,0.0321194163616
0.458177,10,11.3508,-23.925806743,78.3184770947,0.0291377181965,0.0273491,0.0606827,0.279634503746,10,-45.7718559083,0.0171911403437,-45.5445466896,11.3989,-0.0333009,-46.5129803887,27.1963351759,0.0281499,-4.57101238812,51.1221419188,0.029216622092
0.0193848,11,11.8099,-6.09203722549,-6.09203722549,0.0449404447704,0.0445372,0.0543061,0.000712935882344,11,-1.93654570275,0.0207610518637,-1.93513155071,12.9997,-0.0507068,-1.93781935281,-6.09203722549,0.0451108,-0.193851224403,0.0,0.0449455106267
0.00877726,12,13.016,-29.072915392,91.126080339,0.032264821948,0.0319461,0.0456204,0.0266304087468,12,-0.87684791677,0.0215089350083,-0.843370343337,13.8074,-0.0360372,-0.910220432598,31.0265824735,0.0356707,-0.0876923014058,60.0994978655,0.0331696567994
0.00153988,13,13.7446,-23.8152305477,-23.8152305477,0.016937650901,0.0169083,0.0234967,0.000102349198072,13,-0.153833678925,0.0156101795689,-0.1537398268,14.5394,-0.0231462,-0.153996859301,-23.8152305477,0.0313692,-0.0153997705579,0.0,0.0283246729998
0.0262495,14,14.1868,-31.9056280502,-27.5302854063,0.0269119193199,0.0266129,0.0229174,0.0036208964094,14,-2.6223228886,0.0176611322127,-2.61583067741,15.926,-0.0311494,-2.62633823956,-29.7179567283,0.0457282,-0.262416648244,2.18767132197,0.0435077681875
0.00284114,15,14.4795,-0.000127661168399,87.2497355088,0.0255940477982,0.0253854,0.0108872,0.00273883543024,15,-0.283829431468,0.015449772193,-0.278416277346,16.6175,-0.0310791,-0.286347689986,43.6248039238,0.0531557,-0.0283954821782,43.624931585,0.0516716235338
0.000252825,16,15.0906,-15.3728666633,-15.3728666633,0.0245797538475,0.024582,0.00444689,0.000166437011365,16,-0.025257247533,0.0105454326253,-0.0250971519704,16.989,-0.0308429,-0.025629952261,-15.3728666633,0.0549839,-0.00253139086833,0.0,0.0541583534019
0.0171997,17,15.7058,-23.2630323437,85.0249798722,0.0348672237958,0.034784,0.00235828,0.000260701316191,17,-1.71825028136,0.0112562938188,-1.71779787455,17.3491,-0.0416086,-1.71857584261,30.8809737642,0.0655405,-0.171982885321,54.144006108,0.0642157563756
0.0172225,18,16.1918,-11.2130985553,81.4722079077,0.0407769711208,0.0408063,0.00157736,0.00397700928158,18,-1.72052694632,0.0103785543052,-1.71323201844,18.014,-0.0453282,-1.72631020172,35.1295546762,0.0759417,-0.172199830684,46.3426532315,0.07476843368
0.0303747,19,16.9454,-9.19576862468,86.7940242128,0.0487135740111,0.0487383,0.000959225,0.000375823838826,19,-3.03443535405,0.00841367744428,-3.03364981873,18.6732,-0.0534443,-3.03487874857,38.799127794,0.09118,-0.303723166379,47.9948964187,0.0905962958445
0.0109944,20,17.4385,-17.3104600088,-17.3104600088,0.050702902234,0.0506403,0.00330327,0.000359004513905,20,-1.09833975139,0.011187479177,-1.09807176481,19.3333,-0.0555858,-1.0992313972,-17.3104600088,0.0988044,-0.109945954825,0.0,0.0980282248835
0.00527014,21,17.9771,-25.9742138872,94.0392721573,0.0512455256152,0.0512169,0.00202841,0.000201040804828,21,-0.526487352377,0.00960487227408,-0.526031739783,20.2134,-0.0574239,-0.526749598995,60.9593328979,0.102528,-0.0527013035471,50.2584721646,0.102294975757
