MinEsReturn,StdEsReturn,AverageAbsY,AveragePolicySurr,MaxEsReturn,AverageAbsQYDiff,StdReturn,AverageReturn,MinReturn,Iteration,QFunRegParamNorm,AverageY,Epoch,MaxReturn,AverageDiscountedReturn,AverageQLoss,AverageAction,AverageAbsQ,PolicyRegParamNorm,AverageEsReturn,AverageQ
-33.8257158644,55.4931940983,0.0313121201285,-0.0442472,93.6848170775,0.0364718384835,0.010303598993,-0.993429964632,-1.02264969726,9,10.3162,0.0313121201285,9,-0.986802882955,-0.0994100848633,0.00210918,0.00994425,0.0360904,10.2599,11.2334587309,0.0152479
-23.0366106333,49.7595153832,0.0275403695183,-0.0313939,76.4824201332,0.0115006977,0.00195454319069,-0.901362865911,-0.902597368568,10,11.1054,0.0274545551222,10,-0.897104521076,-0.0902456337212,0.0337278,0.00902265,0.0273464,10.8371,26.7229047499,0.0262165
-5.51599786532,39.7372461318,0.0363139799335,-0.0376716,83.7242034396,0.015777706508,0.000724478153119,-1.23373883207,-1.23492757141,11,12.3976,0.0363097328793,11,-1.23283476603,-0.123488302573,0.0428071,0.0123497,0.0364077,12.1333,50.3234270832,0.0361258
-3.14848415911,42.6761689155,0.0511743087742,-0.0570613,93.9960837031,0.0173079072087,0.0016803387724,-0.0720183862567,-0.0745213292239,12,14.2534,0.0511721047358,12,-0.0697713067333,-0.00721008396432,0.0439499,0.000720905,0.0509672,12.8476,56.5685492633,0.0509439
-7.77084312616,44.9684661818,0.0615006037446,-0.0678832,82.1660892374,0.0168202742989,0.00641055176251,-0.158990828948,-0.172256176005,13,16.1292,0.0614950808576,13,-0.152900349956,-0.015837207357,0.0271338,0.0015915,0.0611925,13.1296,37.1976230556,0.0611652
-5.97226010445,45.3001202139,0.0665698318949,-0.0727625,90.8342637246,0.0142417563664,0.00251166691953,-0.690000179729,-0.693333723189,14,17.7481,0.0665669259425,14,-0.686358645208,-0.069064806072,0.0189731,0.00690691,0.066563,13.6764,58.0864116644,0.0665452
-13.3021014055,49.3064101816,0.0738517587104,-0.0796609,85.3107189577,0.0108438652157,0.00182356148894,-2.00416129717,-2.00653674867,15,18.5427,0.0738476529778,15,-2.00119500115,-0.200615598815,0.00638556,0.0200617,0.0737748,13.9932,36.0043087761,0.0737725
-14.4165009919,0.0,0.0806892251219,-0.0865209,-14.4165009919,0.0080812404319,0.00125959173431,-3.80555930856,-3.8070456707,16,18.9885,0.0806852601248,16,-3.80337227773,-0.38093410299,0.00288827,0.0380937,0.0807113,14.4121,-14.4165009919,0.0807113
-27.0303420488,1.47316518252,0.0860890030445,-0.0915405,-24.0840116838,0.0068050558415,0.0139429796016,-0.336128765169,-0.351645576897,17,19.7815,0.0860862365939,17,-0.30254146051,-0.0322296816515,0.00172526,0.00336465,0.0860607,15.0968,-25.5571768663,0.0860578
-0.00940783438023,0.0,0.0939362347485,-0.0996565,-0.00940783438023,0.00789278287298,0.0781543876515,-3.21902332553,-3.34109638131,18,20.6288,0.0939328513383,18,-3.11755907745,-0.314414073216,0.00277976,0.0322225,0.0939121,16.1961,-0.00940783438023,0.0939046
