StdEsReturn,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageAbsQYDiff,AverageY,AverageAbsY,AverageEsReturn,MinReturn,MinEsReturn,AverageAction,AverageReturn,StdReturn,MaxEsReturn,AverageQ,Epoch,AverageQLoss,PolicyRegParamNorm,Iteration,AverageDiscountedReturn,MaxReturn
45.384941495,0.0452525,18.6876,-0.0581852,0.373529701779,0.328277154049,0.328412868471,62.2375239984,-1.28862594624,-29.350125632,0.0128218,-1.28089846272,0.00495954853629,91.1818831982,-0.0452525,9,3.16602,18.6659,9,-0.128111683902,-1.27430600879
0.0,0.0284516,20.8766,-0.0327377,0.0299932859189,0.0245365723084,0.0246766519263,-19.5498307133,-0.0184988669363,-19.5498307133,0.000185173,-0.0184988669363,0.0,-19.5498307133,0.0237169,10,0.0988515,21.4483,10,-0.00185165768271,-0.0184988669363
0.648288157062,0.0484108,23.0121,-0.0563954,0.0272913704742,0.0479227760538,0.0479260940268,-29.3455759856,-1.05001552386,-29.9938641427,0.0105107,-1.05001552386,2.22044604925e-16,-28.6972878285,0.047428,11,0.0730956,24.5637,11,-0.105102075625,-1.05001552386
40.0748111754,0.0592099,25.2919,-0.0675879,0.0219590020632,0.0594873549112,0.0594903229726,40.0584572866,-0.834992197275,-0.0163538887991,0.00835828,-0.834992197275,1.11022302463e-16,80.133268462,0.0590135,12,0.0394763,27.0169,12,-0.083579157708,-0.834992197275
47.8147669174,0.0786468,27.3595,-0.0826039,0.0186107123067,0.0786577773653,0.0786608361029,38.2497786865,-99.7914616296,-9.56498823093,0.998874,-99.7875516391,0.00348516890912,86.064545604,0.0785239,13,0.0175196,30.5185,13,-9.98825373763,-99.7828056436
53.664904956,0.106629,28.9866,-0.106698,0.0191199940236,0.106767684871,0.106772875834,36.2565812657,-3.19788907104,-38.4817305429,0.0320068,-3.19748297545,0.000562068244382,85.0503420605,0.106577,14,0.0129785,29.108,14,-0.320000015724,-3.19614130805
45.4760277158,0.109941,30.3071,-0.114496,0.0188949956962,0.109860084436,0.109868626063,56.2420677,-2.51517133792,-8.02610169449,0.0251769,-2.51517133792,0.0,90.4511095584,0.109674,15,0.0130043,29.7417,15,-0.251757923727,-2.51517133792
40.6997335946,0.105313,31.1008,-0.108242,0.0183218109248,0.104990400948,0.104997069763,33.7030624781,-61.9513060752,-6.99667111648,0.620133,-61.9513060752,7.1054273576e-15,74.4027960727,0.10488,16,0.0141968,30.351,16,-6.20106151599,-61.9513060752
0.0,0.104674,31.7455,-0.109011,0.0161396467464,0.104413003598,0.104420195561,-20.4755834844,-12.6981269997,-20.4755834844,0.127108,-12.6981269997,1.7763568394e-15,-20.4755834844,0.104217,17,0.00975789,30.6453,17,-1.27102835519,-12.6981269997
56.0101820791,0.114366,32.9494,-0.117786,0.0188503094241,0.113350922458,0.113442220218,10.5953633644,-1.28369073403,-45.4148187147,0.0128498,-1.28369073403,0.0,66.6055454436,0.113256,18,0.0153416,31.0756,18,-0.128491967539,-1.28369073403
