MaxEsReturn,Epoch,AverageReturn,AverageQ,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm,PolicyRegParamNorm,AverageAbsQ,MinReturn,MaxReturn,Iteration,StdReturn,AverageAbsQYDiff,AverageAction,AverageQLoss,AverageAbsY,AveragePolicySurr,AverageY,StdEsReturn,MinEsReturn
93.5845826151,9,-2.09490865178,0.0107181,2.28854647866,-0.209571782817,10.3162,10.2611,0.037655,-2.15286915386,-2.0748949369,9,0.0230033903413,0.0378925429716,0.0209701,0.00254113,0.0315167758256,-0.0242756,0.00674413724003,52.9393039732,-34.2054353977
90.4034199433,10,-0.551374544747,0.0164817,33.2990445465,-0.0554167518754,12.9248,11.1291,0.0417278,-0.586348883351,-0.51367062933,10,0.0238273894259,0.0410759674974,0.00551926,2.00226,0.0516521152548,-0.0469062,0.0288719198227,57.1043753968,-23.8053308503
94.5844625819,11,-0.575982178044,0.0613234,64.9039919299,-0.057732392717,19.3553,11.8699,0.090792,-0.580947802352,-0.551838727269,11,0.00920609509563,0.0881976737175,0.00576559,3.15113,0.0880723772097,-0.094144,0.0679927639888,46.2330626638,-15.1102753309
-4.23227914463,12,-3.35909739959,-0.0243075,-4.23227914463,-0.336161581296,26.4055,12.3672,0.236644,-3.37727044605,-3.34712442494,12,0.0108933315105,0.120254799084,0.0336246,3.33298,0.233427349409,-0.0141981,-0.0200515401809,0.0,-4.23227914463
-24.4493953087,13,-2.4851119622,-0.113618,-28.5249798224,-0.24861802001,30.894,12.4349,0.417575,-2.48756378786,-2.48104113889,13,0.00231175694125,0.103565452267,0.024876,2.15164,0.418534855235,0.0748806,-0.111296138087,4.07558451367,-32.600564336
86.6859412841,14,-0.0053206869624,-0.0931132,56.5867443865,-0.000522679621153,35.6879,12.8762,0.516097,-0.00673203356472,-0.00415719546183,14,0.00085226187317,0.0935860630524,5.32601e-05,1.40895,0.51568115907,0.0536687,-0.0899044878948,40.0484083187,-0.0121172672549
80.0541895554,15,-0.673620453888,-0.0227359,37.2897720462,-0.0674022646904,38.4304,13.1454,0.608519,-0.674613610793,-0.672381625108,15,0.000842158874378,0.0917247392239,0.00674295,0.926175,0.609495489768,-0.0151436,-0.0205225093419,42.7644175092,-5.47464546308
71.5318056746,16,-0.100140532082,0.0435717,31.1483036504,-0.0100148774424,41.0571,14.0077,0.677198,-0.101205324185,-0.0975382656477,16,0.00122520201756,0.0817893187107,0.00100241,0.499121,0.676925940459,-0.0826651,0.0434113437426,40.3835020242,-9.23519837386
89.5710092993,17,-0.390022566954,0.13326,58.2057995519,-0.0389654951219,42.4345,15.1006,0.751228,-0.390265451085,-0.389666334706,17,0.000192731993595,0.0701192205762,0.00390413,0.32156,0.751822178132,-0.185229,0.133808698726,43.5271889347,-3.34718768301
78.4178645472,18,-0.000251507587521,0.260952,34.1612952727,-2.65907240859e-05,43.3613,15.5423,0.83848,-0.000597244630217,-0.000113464268252,18,0.000145604737106,0.0625030291849,2.51761e-06,0.160135,0.838601444972,-0.316096,0.260938571994,44.2565692744,-10.0952740017
81.6255508292,19,-0.657682629214,0.43156,35.8356004989,-0.0658228851875,44.6508,15.954,0.989548,-0.657844338543,-0.65741533465,19,0.000144747688787,0.0854000031017,0.00658341,0.417347,0.989355435642,-0.495364,0.431297974249,45.7899503303,-9.9543498314
68.9593969527,20,-3.39307571073,0.538419,28.3857767779,-0.339717495007,45.9752,16.3255,1.04112,-3.39816786219,-3.38829685584,20,0.00431185582822,0.0676269049397,0.0339647,0.225819,1.03868505348,-0.614651,0.538795004368,40.5736201748,-12.1878433969
86.7856432144,21,-1.70119385279,0.702784,54.5523106469,-0.170317046946,47.0379,16.7235,1.15043,-1.70868263138,-1.69860693084,21,0.00344064828748,0.0660687628343,0.017029,0.256962,1.1459156359,-0.785018,0.702838677473,41.8507209101,-4.5525338343
87.4455998807,22,-7.6084635886,0.837473,43.410300436,-0.76201490706,48.2852,17.1302,1.23667,-7.76018702658,-7.55581097192,22,0.0674204991819,0.0825332278493,0.0761608,0.508666,1.2307381688,-0.926033,0.83703771022,44.0352994447,-0.624999008733
91.8783321205,23,-0.673671056436,0.981637,55.9572741064,-0.0673000531128,49.9573,17.4298,1.34004,-0.679806347136,-0.668051809848,23,0.00382597488691,0.0671854377091,0.00674345,0.284529,1.33259568214,-1.0674,0.982361074803,48.9491291943,-13.2505384061
93.3439861129,24,-0.36480388275,1.10011,53.3303012564,-0.0364994414449,50.4369,17.7678,1.41353,-0.365852404484,-0.358660101574,24,0.00218168901524,0.0905894486672,0.00365169,0.71502,1.40616026793,-1.19049,1.10039529612,47.5408856673,-13.4673787707
95.2784711001,25,7.73970586231,1.33705,67.5569498973,-0.0884604350957,53.4208,18.2565,1.56477,-1.57047056643,96.0409364475,25,27.9245096452,0.0573094691838,0.0135762,0.189614,1.5589034862,-1.43259,1.3381758688,42.7516714555,-6.41784500137
91.2449946941,26,-6.79994910341,1.63605,41.8490250462,-0.681503099577,55.7948,18.4372,1.83563,-6.84672502071,-6.67961254158,26,0.0520907650559,0.101871438845,0.0680676,1.42973,1.82969469158,-1.75104,1.63775150932,49.3959696479,-7.54694460174
