AverageReturn,AverageDiscountedReturn,StdEsReturn,AverageAbsQ,PolicyRegParamNorm,MinReturn,AverageAbsQYDiff,AveragePolicySurr,StdReturn,Epoch,AverageQ,MaxReturn,Iteration,MaxEsReturn,QFunRegParamNorm,MinEsReturn,AverageQLoss,AverageEsReturn,AverageY,AverageAbsY,AverageAction
12.1254463686,11.3873224581,14.2843767024,0.681915,11.1815,11.2568199103,2.08479375399,0.458155,0.262597408206,9,-0.678973,12.6888468762,9,103.29126041,11.1661,1.46998833789,5.1442,14.2350153788,1.40582040495,1.40699274741,0.0397559
0.434404940212,0.575862816445,3.58574788412,1.19157,12.4186,0.156618491945,0.13266457332,-1.24088,0.111898311379,10,1.1745,0.723745687239,10,25.0819098812,11.4391,-1.28929809628,0.0683364,2.38311254036,1.18656844914,1.21484416319,0.984912
38.7935696082,34.4756930827,17.0807624582,1.53984,13.8742,36.6807217695,0.0928517030881,-1.58161,0.946459149266,11,1.48164,40.6442673412,11,47.981692682,11.829,-0.863701333963,0.0257325,12.723515715,1.48277288022,1.54280597538,1.0
38.8117312256,34.4906946093,9.12716917661,2.26534,14.1788,36.7257178793,0.13726178208,-2.36566,0.954522730699,12,2.14581,40.7449939764,12,82.8609388548,12.7836,4.25447222284,0.0725733,41.4009309758,2.14686909369,2.26869197494,1.0
38.7641254732,34.4512239915,7.4024147246,3.24009,14.1839,36.743150292,0.194050149082,-3.44585,0.957076278924,13,3.08494,41.9393810724,13,72.288439812,14.4436,28.0796136005,0.157189,43.4503337931,3.08627998951,3.24436571629,1.0
38.8063435807,34.4864034939,8.09645085301,4.36065,14.1838,36.7425624272,0.222529897922,-4.6788,0.942500746832,14,4.2027,41.8188445823,14,68.1168294184,15.9698,5.29832307343,0.211487,41.4381773793,4.20384850156,4.36404535121,1.0
38.8168803904,34.4945475308,8.05403675276,5.57133,14.1838,36.7242862331,0.252845461059,-6.01634,0.890098221383,15,5.43256,40.8658330372,15,70.4512003604,17.5725,13.7093163156,0.264175,41.9671283722,5.43392285455,5.57477993393,1.0
38.7912386718,34.4753487115,4.74970262056,6.86386,14.1837,36.6777607925,0.262435466728,-7.39184,0.880403608286,16,6.74145,40.7500593279,16,48.0406327288,18.8355,16.0498596729,0.270198,40.4381583468,6.74287887733,6.86646598132,1.0
38.7396608609,34.4334061228,6.92817516715,8.17332,14.1838,36.7063711209,0.279435113605,-8.79073,0.886360965827,17,8.06651,40.7242964795,17,64.5122648658,20.0206,5.24902889654,0.301237,40.6108476865,8.06800624801,8.17470587428,1.0
38.726428443,34.4229087448,5.97522019903,9.49072,14.184,36.709879441,0.309792640028,-10.2297,0.985329070811,18,9.40446,40.7022502431,18,72.6624126329,21.287,36.862986527,0.370318,42.0312350635,9.40634046596,9.49250204026,1.0
38.7543791141,34.4474720493,5.78356050098,10.8611,14.1845,36.6391454948,0.330199426958,-11.6684,0.904439092198,19,10.7858,40.7456790703,19,60.1252580992,22.5214,16.02368328,0.419549,40.7616914295,10.788054638,10.8624416994,1.0
