StdEsReturn,MaxEsReturn,MinReturn,AverageAbsY,StdReturn,PolicyRegParamNorm,AverageAbsQYDiff,AverageAbsQ,MaxReturn,AverageQLoss,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AveragePolicySurr,AverageAction,Epoch,AverageReturn,MinEsReturn,AverageY,AverageQ,AverageEsReturn
6.99597155821,57.0206866752,9.07906214315,0.769972971382,0.0473318592233,11.229,1.01100395838,0.299391,9.32475079242,1.38641,9,8.7725860875,11.1298,0.00369108,0.218588,9,9.19483298996,1.54488411483,0.769972971382,-0.241031,9.97111250926
2.54375327034,33.4994584336,3.04919333196,0.441205976608,0.0181189442088,11.663,0.0979259686737,0.438455,3.1210658527,0.0334149,10,3.03665432092,11.2861,-0.547607,0.99997,10,3.08583733271,2.87599830783,0.440252640394,0.437079,3.94026914508
0.670301235412,7.53227401484,3.04922518572,0.384434714684,0.0175989897006,11.7077,0.0384134447816,0.386436,3.12247479891,0.00432357,11,3.03626844905,11.3564,-0.408055,0.999989,11,3.08544161748,2.2567403847,0.383562327553,0.38329,3.65882436776
0.959594821243,9.69142134856,3.05014055912,0.377688590849,0.0177311039161,11.7371,0.0249347074029,0.379693,3.12225387986,0.00148998,12,3.0372781408,11.4263,-0.366679,0.999991,12,3.08647928295,2.90030043858,0.376171248905,0.376127,3.85278906634
14.090559717,48.4990560715,36.6425166315,0.366981607678,0.952746585963,12.1826,0.023736434858,0.36824,40.7426394084,0.00149568,13,34.4422614136,11.5421,-0.395072,0.999996,13,38.7520903368,2.54524812541,0.363901424941,0.36383,10.1312016085
6.1219427442,51.268280652,36.6495484902,0.508601049783,0.890691534014,12.1866,0.0301265157496,0.509701,41.8121757596,0.00293582,14,34.4760330307,11.7828,-0.599957,0.999995,14,38.7925460796,4.1500736892,0.50585529013,0.505646,39.6656035011
3.93977440191,52.1075586472,36.5858008831,0.657044219842,0.955320641031,12.1869,0.0337043440603,0.657774,40.7721946106,0.00407409,15,34.3973331158,12.2503,-0.76599,0.99999,15,38.6910665102,26.3758975419,0.655127190977,0.654805,41.3767313723
31.7514515741,176.464049946,114.568861276,0.799900815916,1.77424120127,13.0348,0.0374041021931,0.80079,121.714190535,0.00473782,16,85.9484276152,12.8535,-0.924112,0.767801,16,118.005930188,11.5359618562,0.798633061735,0.798463,50.1406723887
41.8463461825,194.238587013,171.913515049,0.928434691691,8.36011476951,14.7758,0.0405901769165,0.929084,202.508623105,0.0052516,17,118.759314838,13.4384,-1.08513,0.894241,17,191.84572192,30.7853606792,0.927294720786,0.926894,124.097489908
42.5761114196,206.331744351,165.267021244,1.07135170653,1.9374948379,16.086,0.0418922579347,1.07189,174.90337522,0.00581391,18,111.086215365,13.9124,-1.24452,0.98284,18,170.926651681,39.9311680566,1.07048683324,1.07015,156.049508474
45.6011989311,182.792820746,162.388352215,1.19962327787,3.014169181,17.072,0.0469726745634,1.20026,174.016535842,0.00729381,19,110.415136085,14.4554,-1.36528,0.825014,19,169.885637276,8.92064671698,1.19893009353,1.1986,156.787733828
50.1256389688,180.974831543,167.02111286,1.33698044671,1.69365782415,17.986,0.0495113156239,1.33731,174.479569717,0.00896715,20,111.39099206,14.9939,-1.503,0.831726,20,171.645991157,40.537091097,1.33606431629,1.33549,142.80915648
43.1858260576,190.308807826,166.297114275,1.46895588672,1.37246443064,18.5799,0.0524472867295,1.46936,172.969072313,0.0100844,21,110.135851192,15.5391,-1.64798,0.897929,21,169.780340944,47.9932558393,1.46817070277,1.46777,158.845982754
55.406519965,186.157408908,166.45454991,1.62921626094,1.41940815749,19.2022,0.0588594566029,1.62957,173.235451961,0.0131807,22,110.638059497,16.1654,-1.80029,0.810723,22,170.578226421,15.889609086,1.6286121109,1.62807,123.639421495
64.002494588,216.239655443,41.6897363599,1.76550321494,1.51212103617,19.7921,0.0598779539627,1.7661,48.5974976712,0.0143039,23,39.5908708179,16.7763,-1.95441,0.838217,23,45.5231588056,4.69948700749,1.76483795305,1.76437,100.222635083
61.9192898932,250.374781569,155.717040773,1.92011142286,1.74445766416,20.648,0.0697969335579,1.92047,164.382584248,0.0201974,24,104.882657911,17.4322,-2.12854,0.406065,24,159.73102058,26.5561229662,1.91941853343,1.9188,156.868902035
27.7167384256,218.698790866,171.519979371,2.09143966909,4.05675620799,21.0869,0.0739911796485,2.09203,194.508950752,0.0233206,25,115.412645148,18.0208,-2.31717,0.751116,25,184.515307823,127.091732325,2.09078012925,2.09013,174.942099749
70.3261589088,222.90273635,163.029608073,2.25509844104,6.17833678361,21.5152,0.0797997663483,2.25569,195.605767978,0.0288442,26,113.20378422,18.587,-2.48117,0.759572,26,178.620319928,5.40978873089,2.2546011101,2.25378,134.976798583
66.3361568846,206.519833433,154.001505564,2.42997017685,8.12204309108,21.8565,0.0851951134493,2.43089,190.006309149,0.0314205,27,110.282749732,19.2077,-2.65151,0.932327,27,170.377498583,32.3763643839,2.42927753258,2.42859,133.672533997
60.3802445971,205.116712395,172.828857976,2.57896395797,4.61780672143,22.2212,0.0844995606695,2.57965,199.971223392,0.0313428,28,116.587506607,19.7626,-2.81438,0.934994,28,187.469558653,6.74697794582,2.57834917779,2.57731,145.683017455
51.9154569324,246.855008814,171.773812672,2.75612404616,12.254051246,22.6355,0.0864434625489,2.75717,219.742696584,0.0346765,29,119.074568227,20.2968,-2.98455,0.850658,29,193.168136722,60.3548219214,2.75558317051,2.7549,155.045216268
41.4667917607,257.833164145,195.039106918,2.92150018295,5.74977027933,23.0406,0.0918936127899,2.92257,223.111237192,0.0385789,30,125.235803862,20.8859,-3.15302,0.735849,30,206.725682865,89.3321805329,2.921028086,2.92042,181.768811751
44.5027543159,214.782798611,239.708218364,3.08669341065,3.69083195074,23.3806,0.0922097402366,3.08801,258.556037669,0.0385209,31,139.471682465,21.3537,-3.32397,0.831593,31,248.711944612,57.9388041037,3.08620498075,3.0854,167.959681012
53.2244586513,275.080882452,264.761399258,3.25749256534,5.16549198334,23.6113,0.10060194926,3.25851,287.436980426,0.049691,32,147.596727527,21.8984,-3.48217,0.747174,32,275.321364455,111.308277228,3.25693650824,3.25602,185.835864231
62.2787415967,278.905906268,271.31109354,3.40225466994,5.69271445719,23.8607,0.110503296924,3.40393,293.417635463,0.0611118,33,147.587018331,22.3897,-3.6305,0.614012,33,281.448324581,104.675784943,3.40168604918,3.40115,198.795017895
95.7553089924,327.395670508,257.400049208,3.58763585092,6.20243744314,24.0837,0.106127811224,3.58858,281.652281124,0.0560022,34,145.846282135,22.8774,-3.82874,0.619531,34,271.784971032,61.5941671967,3.58705999334,3.58578,206.323879109
99.3622914035,324.903507932,251.097345759,3.76252791358,3.93196285225,24.3534,0.113938194338,3.76428,272.640504245,0.0645984,35,143.011275371,23.3122,-4.01073,0.630367,35,259.279229095,8.30336254233,3.76158576092,3.76066,167.683535077
105.717943333,292.595859535,248.152994355,3.93665746483,5.50021599974,24.5172,0.121515623614,3.9386,270.931087374,0.0728573,36,142.839809018,23.8533,-4.20999,0.657604,36,259.115687183,10.3249738239,3.9356036167,3.93473,180.628093673
116.516912369,321.048716103,187.344606547,4.14198739475,27.5244769025,24.9318,0.130747685942,4.14425,270.692791227,0.082987,37,132.519819175,24.3686,-4.42934,0.84516,37,233.196548327,3.6819778071,4.14063479084,4.13948,177.157059866
90.2965775276,297.046056202,126.837790546,4.3634122302,5.33030710199,25.4293,0.132755286212,4.365,151.196532493,0.0923557,38,93.6732691693,24.8257,-4.64821,0.875834,38,136.676257371,10.7615973428,4.36233116591,4.36111,204.603449158
60.0318341766,292.669706207,235.085363677,4.56596411525,7.18435194671,25.7735,0.142489290736,4.56796,274.569072943,0.102822,39,138.845809189,25.2948,-4.86092,0.63044,39,249.687746942,131.788992404,4.56427316931,4.56331,232.769094124
95.2433613195,380.041832167,244.08621094,4.78985542061,7.94903972127,26.0357,0.149503340291,4.79237,281.856546004,0.111567,40,143.521170231,25.8287,-5.08175,0.77014,40,266.89252874,13.838101272,4.78831511336,4.78715,223.00200974
48.7022745834,319.895170207,272.701550629,5.00018679162,20.6495136665,26.325,0.151946382621,5.00252,382.912635168,0.121738,41,173.481137564,26.2717,-5.27626,0.780208,41,358.421755506,136.630256008,4.99840203312,4.99708,252.269001218
99.4936463678,302.706919962,175.868538987,5.18343473635,24.3350423054,26.7055,0.154579493511,5.18581,359.053260404,0.118576,42,128.323772095,26.7296,-5.4533,0.682004,42,219.600071683,16.1027124317,5.18150469122,5.18009,209.416657396
58.033699418,312.676865805,221.240014693,5.37997832947,4.29119611072,27.0034,0.155600805638,5.38235,245.26295468,0.126152,43,134.619830846,27.1294,-5.66113,0.594266,43,233.283081895,103.586081944,5.37792298675,5.37663,241.164517876
79.3452949646,275.489625411,263.673349061,5.55326711402,22.3753800492,27.2199,0.155015418813,5.55666,361.226718981,0.120167,44,161.880092574,27.6085,-5.84682,0.684524,44,316.758116335,13.5737311693,5.55012241621,5.54891,163.850825362
88.2210716229,316.504749893,247.009930959,5.77495375742,20.7355880766,27.5468,0.168674202414,5.77834,327.7458459,0.141498,45,152.914527985,28.0162,-6.06735,0.651055,45,288.063208368,20.9217259353,5.77298055784,5.77194,187.599335362
94.6014591518,303.490841076,225.537875354,5.9549955794,5.6874132498,27.8374,0.171548128405,5.95919,250.694741378,0.147528,46,135.632971361,28.4243,-6.25395,0.598415,46,235.213656982,16.5825626079,5.95207039441,5.9506,178.233776397
108.362698062,370.710436919,202.347610739,6.15395182948,16.6819269306,28.1457,0.17899211944,6.15709,272.341219235,0.17037,47,127.821749386,28.8348,-6.47266,0.698367,47,215.791701249,26.2044902054,6.1518386577,6.15072,169.778289216
87.9263310119,371.672506429,149.51470216,6.37338628758,23.7679923024,28.4179,0.179609854904,6.37673,307.165366646,0.167814,48,149.385523194,29.2275,-6.69334,0.689505,48,275.638883302,51.469234515,6.37184911152,6.3706,183.196219474
87.2673408806,332.735754164,191.365269415,6.54151403544,13.0617501412,28.7313,0.184822011476,6.54544,297.786419906,0.179435,49,123.264419117,29.6063,-6.85893,0.724105,49,207.157635597,63.907484877,6.53982074781,6.53812,207.627006789
109.252810589,375.088135699,139.941750884,6.76424867557,54.8322768437,29.0183,0.193568496512,6.76735,307.208682669,0.193429,50,111.056390181,30.0204,-7.09051,0.758877,50,177.53364381,36.0369980946,6.76280872415,6.76109,185.187163672
125.873949274,404.150552063,233.868556716,6.97559199883,4.61467630512,29.3104,0.195465288864,6.97905,259.450267267,0.199657,51,138.90393841,30.4151,-7.29521,0.746439,51,250.589706581,9.95954782148,6.97427763137,6.97283,216.56130742
147.643756095,570.081538064,263.261471303,7.15559021242,27.380825955,29.5471,0.199156660917,7.16031,453.246381646,0.208191,52,148.397489668,30.8266,-7.4776,0.707491,52,278.303472052,43.8645052883,7.15252950281,7.15136,230.044648416
116.025528814,371.790306359,232.318578419,7.38887450463,5.27348058222,29.9285,0.199871599204,7.39237,254.924206731,0.204028,53,136.758915591,31.216,-7.7318,0.644253,53,243.452791038,11.0360131783,7.38590816598,7.38388,174.888136994
116.760619405,449.20540357,228.097838184,7.55430072175,80.5118075726,30.164,0.208512970212,7.55841,481.382523629,0.219689,54,148.970860298,31.5808,-7.91813,0.733167,54,294.114374155,73.8920312363,7.55167478292,7.55005,324.230389382
78.2095070955,388.033525325,216.812601463,7.82387999481,11.3844787824,30.332,0.209186222168,7.82778,258.155920422,0.225851,55,135.154205131,31.8938,-8.18874,0.74352,55,238.582159378,118.826781141,7.82225720641,7.82063,248.224771865
118.827152444,419.697632015,230.122047824,8.05540937671,52.3290214137,30.5807,0.215534755061,8.05892,443.414949249,0.262829,56,142.400683269,32.2809,-8.44087,0.688139,56,264.825049394,61.4402872115,8.05385759709,8.05207,255.172054195
74.6408731496,295.092864918,229.361871513,8.26693668403,30.5023989461,30.8415,0.224256867867,8.27143,445.298145411,0.252497,57,140.789367708,32.6713,-8.63908,0.70366,57,255.191833764,71.1485487186,8.26330023566,8.26164,191.031028042
143.102647955,538.151473729,228.482958233,8.47447993795,56.5960808274,31.1109,0.239454002216,8.47696,461.762393054,0.304057,58,139.83112671,33.0251,-8.84285,0.661316,58,264.236024664,48.4599220391,8.4683854905,8.46633,262.707069124
163.094911692,464.780807103,246.133145355,8.64430798471,28.5596680129,31.3809,0.235420958872,8.64679,499.750287848,0.287959,59,144.534618206,33.401,-9.00873,0.730695,59,270.267745077,15.4185559147,8.63809813118,8.63675,205.927440131
