StdEsReturn,AveragePolicySurr,AverageDiscountedReturn,MaxReturn,MaxEsReturn,AverageAbsY,MinReturn,AverageQLoss,AverageQ,Epoch,AverageAbsQYDiff,AverageAction,Iteration,QFunRegParamNorm,AverageAbsQ,MinEsReturn,StdReturn,AverageEsReturn,AverageReturn,AverageY,PolicyRegParamNorm
11.346349254,0.137865,5.81299231454,6.29523213585,124.803354971,0.502640044364,3.66198404198,0.53536,-0.0606087,9,0.508626074143,0.112169,9,9.26812,0.120982,-1.0379237994,0.515892983487,9.21370317329,5.02551796905,-0.48163495209,9.46243
1.71948942182,0.183582,-0.668467314969,-0.471368658926,5.18458439569,0.293322491917,-2.06523254937,0.027065,-0.281824,10,0.0887271959724,0.884315,10,9.39182,0.287841,-1.72053346183,0.318206514557,0.293568199893,-1.41932754179,-0.283290188653,10.2414
4.20293638624,0.0855604,8.34584414833,8.75421107084,14.7113191793,0.166120341746,6.81272811192,0.00388257,-0.141259,11,0.0387843298356,0.174129,11,9.53673,0.164494,-1.5998879367,0.332093901526,4.29349986737,7.66716985939,-0.140973563202,10.9701
28.9446944142,0.00426809,29.6111856921,41.6780641523,121.552076598,0.165613721394,37.6251376171,0.00205402,-0.063922,12,0.029469982688,0.158069,12,9.69161,0.164599,6.31968890268,0.845083652223,26.0645613473,39.3406652249,-0.063755647811,11.9241
19.7776836517,-0.0904413,35.1322179876,51.1568279215,109.205942223,0.205713349388,46.8947838711,0.0018772,0.0301841,13,0.0281302443004,0.117785,13,9.8294,0.204439,10.1006802391,0.869000453457,25.260275876,48.9470393687,0.030421476788,12.7711
23.0237247463,-0.190788,68.2358898561,162.722753475,90.4601671765,0.265506015117,68.561083744,0.00211373,0.132392,14,0.0283890821107,0.122595,14,10.018,0.264654,9.86074571304,25.6082554828,39.4052804177,139.514932183,0.132671319233,13.3671
22.7910860884,-0.318049,34.067388661,40.3707829198,107.359478366,0.35771468685,36.5248380679,0.00338935,0.255012,15,0.0320269360559,0.729631,15,10.3537,0.357205,1.88267438958,0.954879334612,60.3682454707,38.29826902,0.255415515749,13.6751
23.1058485947,-0.465916,37.7137657391,44.8195547026,110.232526535,0.469695176458,40.4746008642,0.00480426,0.389741,16,0.0362693624594,0.676995,16,10.7916,0.469387,7.39362269066,0.956113375795,61.0448982458,42.8701310693,0.390150530062,14.0216
48.598694014,-0.643324,107.81954106,165.600578851,188.672726296,0.603101893553,159.539387448,0.00675239,0.544494,17,0.0410429779257,0.50848,17,11.3267,0.60241,37.2362293759,1.03223689981,113.560037741,163.213821234,0.545000375833,14.5227
58.9963432225,-0.833004,110.1388523,173.118596483,192.900139655,0.759345941854,163.652850071,0.00828476,0.719494,18,0.0453945763243,0.513566,18,11.8503,0.758363,6.91184281424,2.26114754744,108.051653659,169.270688975,0.720133716891,15.1533
61.8802659531,-1.0313,69.1580035453,96.5975892542,192.933211962,0.936528811526,54.0299787588,0.01105,0.905995,19,0.050664282631,0.333996,19,12.3664,0.935389,6.5701986263,14.3368399993,125.072676811,88.5361159223,0.90657770561,15.9731
39.1663016753,-1.22174,111.301321698,175.369630481,186.646589948,1.1120981325,165.183381038,0.0145746,1.08935,20,0.0573684602094,0.586391,20,12.9369,1.11123,66.4793385096,2.2506843982,139.273219482,171.702700687,1.08992167279,16.8058
47.1544292943,-1.4074,112.041267124,176.425624423,194.574911093,1.2904638081,169.68624291,0.015187,1.27004,21,0.0583519165111,0.525655,21,13.4334,1.28981,37.9308384248,1.55707994659,150.041706792,173.431843588,1.27062422723,17.3957
62.5492662001,-1.62714,113.273181859,187.255919612,245.085074108,1.48847485908,168.572075655,0.0205278,1.47052,22,0.066611628182,0.500451,22,13.9614,1.4877,26.9498900038,5.0179033688,120.771219705,179.491194411,1.47122115236,18.1053
47.6154250231,-1.82201,125.827001245,220.664268771,195.554515084,1.67906857455,184.67668023,0.0227427,1.66044,23,0.069364938701,0.27761,23,14.5193,1.67852,53.6158799877,5.49805506228,124.435986959,211.39180082,1.66105856188,18.9754
58.3812572901,-2.03197,115.581062498,191.286682303,295.628656598,1.88307968572,168.178979848,0.0259023,1.86435,24,0.0741445720573,0.501497,24,15.0669,1.88247,42.2219123145,7.48862434811,175.711706545,182.332853296,1.86510995955,19.6469
51.7471799921,-2.25063,129.382627518,274.881333783,242.45727406,2.08840207496,191.547482933,0.0285142,2.07226,25,0.0798173832477,0.48035,25,15.5973,2.08788,71.3051263887,27.9834406629,170.206025503,218.234322639,2.07292643755,20.3119
65.5703182885,-2.46373,113.20634795,181.850991319,241.642479846,2.28951752213,172.568511668,0.0367025,2.27715,26,0.0873937600935,0.447377,26,16.1689,2.28911,30.0212043385,1.88560392657,139.416717735,177.212808608,2.2779846791,20.8423
67.2330180902,-2.68671,132.799652895,256.563386175,306.761641058,2.50642066908,211.951087154,0.0373718,2.497,27,0.0891629957412,0.368041,27,16.6504,2.506,59.8761732181,12.5458872551,147.553931027,228.051657386,2.49784723804,21.3663
82.3668015395,-2.87231,105.66189688,234.750145479,281.36652593,2.68934653983,139.444033145,0.0461951,2.68003,28,0.101038115569,0.497524,28,17.1676,2.68918,7.52822501227,24.5901531346,187.02465437,160.585957494,2.6809262312,21.8671
70.7254393518,-3.09343,116.933039307,288.719736111,336.764413044,2.90995533309,147.04371227,0.0491321,2.90036,29,0.102263071303,0.402519,29,17.641,2.90972,98.4871792713,45.8603912169,193.530355225,190.84185973,2.90129634254,22.4487
