AveragePolicySurr,AverageReturn,Epoch,PolicyRegParamNorm,AverageAction,AverageY,AverageQLoss,AverageAbsQ,StdEsReturn,AverageAbsY,MinReturn,MinEsReturn,AverageQ,Iteration,StdReturn,MaxEsReturn,AverageAbsQYDiff,MaxReturn,AverageEsReturn,AverageDiscountedReturn,QFunRegParamNorm
0.453003,12.1401651632,9,11.1822,0.0400538,1.42403114725,5.19223,0.723374,15.6057463413,1.42403114725,11.3989813102,1.44147093301,-0.71878,9,0.256817278086,119.595333984,2.14281137053,12.7145134569,14.4344856026,11.4003986819,11.1658
-1.22817,0.25723242735,10,12.2175,0.965306,1.18634628598,0.0701987,1.19043,1.04521028701,1.21545530461,-0.0417593173124,-1.09427004786,1.17339,10,0.112904618736,5.25010261968,0.138893517352,0.507020673035,1.29419890463,0.407896700958,11.4002
-1.52679,38.5111719371,11,13.887,0.999915,1.44990340091,0.0270862,1.51501,14.7767866563,1.51818162373,36.5808917061,-1.7828290134,1.44867,11,0.86276000291,46.4028463124,0.0976383098651,40.3428154203,7.66552168576,34.2470186839,11.6909
-2.36276,38.8404652457,12,14.1014,1.0,2.10770107382,0.07864,2.2449,7.17516349256,2.25029252346,36.6470085455,8.59653303859,2.1058,12,0.930627215141,57.17549361,0.146335854906,40.7359932923,39.6852480862,34.5115491978,12.2422
-3.41734,38.7970514793,13,14.1007,1.0,3.03098634943,0.1855,3.20824,6.98021233132,3.2137215655,36.7435867024,19.6887093641,3.02867,13,0.916256076733,72.9347836263,0.213157089337,40.7088729558,41.7492398373,34.4783827114,13.2088
-4.68357,92.5976812811,14,14.2458,0.971559,4.19870538297,0.308344,4.37084,24.5368449358,4.37642103588,90.464254233,36.7189795586,4.19694,14,1.05907708163,157.739943556,0.26484158578,95.2250107095,54.161517343,72.0443066555,14.5557
-6.08723,105.075430309,15,14.5882,0.739406,5.46295660676,0.460219,5.6208,46.5492120236,5.62597981864,101.778665903,38.0035379587,5.4602,15,1.2449726619,190.492793854,0.320395223575,107.868992051,110.987831261,79.2935642584,15.8275
-7.60705,172.48767188,16,15.4368,0.683546,6.85547733436,0.565745,6.98384,36.8735395431,6.98709158618,167.267231025,54.3099983208,6.85266,16,1.75785618208,177.794008499,0.344357084913,176.209130652,135.323355414,111.543146624,17.1512
-9.28103,174.301249424,17,16.3336,0.673304,8.41736092045,0.725954,8.52049,25.3195413962,8.52460048985,170.932613338,102.968335763,8.41408,17,1.94960600085,177.073312691,0.385167899069,177.985142942,155.477671015,112.478977218,18.4941
-11.0331,127.635227966,18,17.1564,0.754613,10.0982076362,1.06223,10.1759,38.3685721526,10.1814217915,120.716817707,61.3436353007,10.0932,18,4.92504219732,197.081652045,0.452380141742,151.172292018,145.305314075,91.190688747,19.7835
-12.7786,174.083173831,19,18.0281,0.738295,11.793342948,1.24776,11.8586,39.6577741067,11.8631457617,170.857622105,36.4509245857,11.7884,19,1.76800864367,196.693530682,0.49437999024,177.432569555,166.274574807,112.469407486,21.0848
-14.5473,173.205540674,20,18.7361,0.762603,13.4970143326,1.58986,13.5518,51.7023928405,13.5537243823,169.181831744,40.699697013,13.4933,20,1.36007068721,177.153725976,0.552309955823,175.542769517,142.245904617,111.938046601,22.3001
-16.387,171.577464732,21,19.7304,0.873009,15.2314305865,1.87981,15.2769,46.1881295755,15.281509327,167.814098422,40.2532585254,15.2251,21,1.38639800381,188.561532341,0.615433479712,174.416769044,150.47550701,110.935792444,23.661
-18.3413,171.115276297,22,20.5774,0.802867,17.1005808661,2.09891,17.1406,54.3708202749,17.1443452967,166.474256656,8.9782714858,17.0942,22,1.66942836731,180.888226373,0.642949064385,173.694198144,121.424523354,111.086896519,25.0117
-20.2595,171.122842338,23,21.3226,0.73728,18.9507030048,2.40266,18.983,49.3295101255,18.9876719706,167.182891312,11.2056910533,18.9427,23,1.46774276014,174.608185149,0.686102233778,173.873080099,141.671928876,111.135309639,26.1434
-22.2527,170.34884298,24,22.002,0.813966,20.8946578337,2.64155,20.9208,12.3916168934,20.9240824682,164.237103309,131.191940463,20.8884,24,1.75485922663,177.746332002,0.727407109106,173.748691385,165.225733106,110.583733858,27.3717
-24.1118,171.257004056,25,22.6056,0.796643,22.6777181668,2.69777,22.7028,47.0576192266,22.7056977005,168.886620431,4.54941595127,22.6704,25,1.08901267433,185.350098187,0.758485549925,173.90895854,153.299625392,111.248148968,28.6604
-25.9748,168.066905174,26,23.1438,0.828141,24.5246523071,3.23434,24.5424,62.3003122386,24.5460286103,165.49915848,3.57215270494,24.5163,26,1.1493236512,188.100915969,0.836576957214,170.341511814,124.529125687,109.627489708,29.8866
-27.8656,168.969619624,27,23.6361,0.812735,26.4157510301,2.93602,26.4368,41.9534116255,26.4378409603,165.327662949,72.6600772722,26.4089,27,1.49172650275,185.857013304,0.810329466891,173.085690249,148.732526073,109.960314318,30.9893
-29.6335,177.882152199,28,24.0518,0.822477,28.157003576,3.324,28.1764,50.8771816973,28.1776238574,171.833277785,25.9961014908,28.1475,28,2.47203400637,178.180402537,0.86750518019,185.563161315,136.864588424,114.131332535,32.0448
-31.5066,206.155941587,29,24.5437,0.65313,29.9836248955,4.34478,29.9975,66.1732730999,30.0012313346,201.707671952,26.5205456726,29.9728,29,1.81244195563,216.200355321,0.957402795102,209.842224292,151.162260955,125.196469695,33.1455
-33.4776,212.353870634,30,24.7211,0.551424,31.848933772,4.93395,31.8696,72.1375788069,31.8670740876,205.149508987,30.6882193252,31.8425,30,2.43427409772,250.715084328,1.02369949769,220.263771671,172.415297051,125.606508694,34.2058
-35.693,108.775579475,31,24.8689,0.664201,33.6483633707,5.95142,33.6688,60.5172804549,33.6670812816,63.268040713,43.8706768816,33.6398,31,67.3267207216,220.28488853,1.11793060463,229.893176705,115.65293163,75.3752573608,35.1491
-38.3244,235.754389925,32,25.0255,0.633387,35.9497164231,7.20405,35.9697,48.8737475342,35.9668435641,226.145513303,34.4473818817,35.9406,32,3.91965852949,210.371881046,1.16578542634,244.215424032,101.364132199,137.098792151,36.0894
-41.0086,232.976730669,33,25.3295,0.415688,38.5135344963,8.79402,38.5332,70.3505106127,38.5304178591,227.583178149,52.5598586951,38.5006,33,2.64517468592,240.533442668,1.29548192946,243.260068163,172.794284479,134.705268017,36.8915
