AverageDiscountedReturn,MaxReturn,PolicyRegParamNorm,Iteration,AverageY,AverageReturn,StdReturn,QFunRegParamNorm,AverageQLoss,Epoch,StdEsReturn,AverageAbsQ,AveragePolicySurr,AverageAbsY,AverageEsReturn,MaxEsReturn,AverageAction,AverageAbsQYDiff,MinReturn,AverageQ,MinEsReturn
-7.54338411976,-8.01853884014,11.7809,9,1.99504495813,-8.14064779716,0.0362494206086,11.5825,5.30206,9,3.25089185154,0.877272,-1.14791,2.28821879453,-9.74310232179,1.99959791726,0.562576,2.03025366504,-8.24656604786,0.630837,-17.3374493513
-7.81433050264,-7.94123259036,12.7229,10,0.836868334459,-8.09157558059,0.064421143735,12.0817,0.318915,10,1.78451587498,1.23429,-1.54199,1.33249703752,-7.70246833738,0.140718180345,0.999986,0.365335920998,-8.25214716098,0.822436,-15.0417905958
28.1716467675,43.6051366701,13.1319,11,-0.0544542556909,34.6466812671,4.40333591125,12.3605,0.0458933,11,6.62493584013,1.3819,-0.430149,1.39109053846,-4.93708384397,40.8407942788,1.0,0.161816506368,26.08138719,-0.0552354,-14.2360512231
28.4738646494,43.8503750487,13.1323,12,-0.255530611417,35.0517189344,4.41533765552,12.9986,0.053079,12,15.3525329157,1.92957,-0.836573,1.93569025897,19.0056541659,69.7990196918,1.0,0.173222422526,27.035581868,-0.256731,0.752187707523
-14.3309510128,-32.8415541439,14.1568,13,-0.0282125461711,-34.3398514577,0.679938138906,13.9006,0.0678209,13,70.020105717,2.46544,-1.60783,2.47182534213,21.2509587371,292.215227142,0.863161,0.189458339122,-36.2640632642,-0.0292682,-45.147795224
73.2445498634,469.171629855,15.4288,14,0.810661875642,161.130878862,125.5369132,14.9844,0.105584,14,84.2046758667,2.99109,-2.49168,3.00033310247,-7.58610467013,270.270330671,0.885345,0.229766798794,55.7050156837,0.809323,-51.247482237
60.8299693732,436.946089652,16.1602,15,1.54858781164,95.0413678565,69.4207366539,16.1014,0.136982,15,138.406912486,3.62068,-3.32045,3.63032117105,135.819921275,344.635625698,0.985707,0.245615651932,46.8295879225,1.54768,7.00197989386
114.862756898,441.091753711,16.7201,16,2.55440027034,312.355444807,29.5456344407,17.1679,0.235264,16,89.269786575,4.47974,-4.37296,4.48993009933,321.649745695,432.41701745,0.778585,0.276443480823,276.341158313,2.55382,165.690097657
79.0374977444,1121.78487627,17.6317,17,3.60448448631,430.923530128,453.993019405,18.0716,0.264954,17,143.263906599,5.37189,-5.48621,5.3819567163,233.787269522,390.512861888,0.551724,0.296921265265,51.2798425754,3.60376,39.8831359015
83.3497664878,657.807190273,18.3437,18,4.76277251071,242.708043696,182.764703214,18.9202,0.381026,18,79.4398573195,6.33653,-6.71729,6.34872899898,154.112302864,263.908505914,0.686169,0.345859023829,61.6596285063,4.76164,55.0635860688
77.6677322497,1023.56090568,19.063,19,5.94065385499,246.251595193,271.217301172,19.7392,0.445325,19,81.5616472412,7.3322,-7.87237,7.34539199154,222.021765144,304.787650655,0.659786,0.377508626358,73.9354629604,5.93972,118.567083999
82.2138263222,464.678642088,19.7822,20,6.93541891428,201.809097986,136.238060308,20.4493,0.553001,20,91.1107150328,8.22283,-8.88162,8.23603913186,169.95158383,347.606368067,0.682912,0.404408606533,67.1229749504,6.93368,63.7023286521
56.3361881785,387.741494288,20.4628,21,8.075027879,79.1939479413,47.0410694706,21.3413,0.765374,21,337.52166647,9.22148,-10.0503,9.23466834467,451.262962071,788.784628541,0.705145,0.45532111469,49.4441009635,8.07313,113.741295601
80.5341362013,1082.80339919,20.9236,22,9.25332099199,257.804688778,245.323693335,22.1978,0.803874,22,105.821433864,10.2923,-11.2548,10.3047216159,154.592970396,273.554717729,0.562452,0.472999234726,70.2778393026,9.25078,2.04689517456
68.1466663947,1021.71450239,21.5068,23,10.2768885858,185.977052069,260.313881543,23.0403,0.928357,23,134.687013827,11.2284,-12.3595,11.2402391632,220.581311942,416.433669319,0.523033,0.507456522819,53.3499487706,10.2753,90.1359417271
60.6086799161,403.793533996,22.2515,24,11.3857980697,95.6078071725,77.0695610574,23.8977,0.976732,24,171.638726955,12.2629,-13.5039,12.2757666915,148.960060572,356.061629817,0.573781,0.547311834918,31.1522261323,11.3832,-52.7037565866
78.8449886937,985.158821418,22.8878,25,12.5079685441,220.59321369,196.834933147,24.7459,1.19449,25,208.987332527,13.3463,-14.6394,13.359955432,348.806246347,586.461780714,0.600275,0.596954187623,52.3013301998,12.505,77.8159247228
100.912652573,953.884283576,23.4985,26,13.8075212673,411.796917245,224.062594585,25.5318,1.37469,26,85.5526241021,14.5915,-16.0175,14.604508348,187.035120296,329.468534965,0.650243,0.640479697986,219.912383485,13.8042,82.799190206
95.6568798362,1118.9278178,24.1343,27,15.0490567986,286.375041866,192.928811772,26.2365,1.55428,27,99.6626446558,15.7822,-17.2594,15.7955842927,165.437589766,323.218527249,0.556057,0.68254359912,47.9410317218,15.0458,20.5424733075
81.0591271306,898.873607078,24.8051,28,16.1094074966,386.631335869,148.25140243,27.0019,1.91772,28,179.807432187,16.8427,-18.3364,16.8570079897,159.567785839,464.492025915,0.6456,0.755723491504,195.778881592,16.1062,19.6684378573
52.6355006688,757.426863517,25.2637,29,17.1086596392,147.681168099,171.853569901,27.7373,2.05515,29,56.4810839067,17.8433,-19.3232,17.8586121147,6.94650756648,125.326441233,0.689231,0.803863092238,0.24142010695,17.1051,-74.1074976075
98.8980686964,877.302494363,25.7334,30,18.0378605395,279.066466499,177.03075983,28.4999,2.52264,30,138.851520112,18.7991,-20.2423,18.8169020114,163.887590425,404.636820761,0.651581,0.887271626086,16.4368546733,18.0346,-44.1993245506
65.0318889365,585.826017003,26.1442,31,19.1217685954,196.94342469,154.229328608,29.1466,2.81164,31,99.9458312022,19.8488,-21.364,19.8710126911,56.7641543393,242.612892696,0.730849,0.959110264342,-8.38668037581,19.1159,-28.3493429683
49.3644519361,413.923462807,26.5748,32,20.0032412294,120.695360033,121.249132995,29.9025,3.1977,32,74.530084384,20.7211,-22.3064,20.744578479,16.7848384475,177.262404565,0.745905,1.03231851853,-9.02483029567,19.9985,-72.0578432127
43.9972819749,520.806729754,26.9985,33,20.7933349318,99.463056244,109.726423375,30.6288,3.80717,33,89.9408556213,21.5253,-23.1611,21.555504981,40.9632008769,232.953579349,0.742024,1.11291304304,-29.2795106647,20.7891,-33.209000956
83.0863138953,861.988879953,27.4017,34,21.8905615351,203.536806705,139.149541589,31.3473,4.11294,34,114.440635084,22.5828,-24.2609,22.6181394093,74.1832338609,360.592593784,0.746346,1.18136544589,13.0220068097,21.8853,-6.53326426887
73.1054205139,860.051577162,27.8063,35,23.2070550829,258.184706152,191.161858636,32.0286,5.04366,35,113.915976381,23.8528,-25.6573,23.8833875658,188.80498864,380.017215217,0.772186,1.27687893121,22.6394282427,23.2014,31.4273283517
90.4551096117,1096.45170859,28.1926,36,24.7081879626,297.022169339,202.346479809,32.6517,5.30773,36,126.136068003,25.2998,-27.17,25.3345810077,140.098964545,390.406819879,0.754605,1.34864729249,52.4805358757,24.7018,9.40507630055
79.9799314318,973.331089229,28.506,37,26.2925345332,275.850101853,236.912237718,33.2986,6.11602,37,115.640601393,26.8566,-28.8246,26.8889872688,247.721003666,378.702758326,0.771346,1.43854645306,33.4745807961,26.2867,21.3394691014
95.5876954734,781.348895276,28.8098,38,27.6385663526,288.314080661,151.060388841,33.8838,6.61715,38,39.5445410487,28.1812,-30.2749,28.2092323657,49.6579955465,110.271215896,0.783773,1.51315958381,13.7770046616,27.6322,-0.331773498744
87.8420921783,511.538410086,29.0673,39,29.1521487438,202.279820502,107.854799915,34.4987,7.6831,39,80.4541223144,29.6489,-31.8923,29.6778104117,88.5298728416,246.139542692,0.766659,1.60325152413,4.11219551074,29.1448,11.8200052377
102.684091379,989.645549694,29.2828,40,30.8989810007,263.910550202,207.104848205,35.1302,8.17032,40,163.847839356,31.323,-33.757,31.3550403352,154.624387407,465.725337458,0.729948,1.67503680309,16.1901831392,30.8891,12.0815070815
72.568649947,601.13873499,29.5765,41,32.7364460917,175.638526531,117.958592247,35.7288,9.06307,41,122.306812615,33.1015,-35.6265,33.1297557232,126.257893833,367.220171679,0.746751,1.76175639929,-22.0153102412,32.7284,-27.9893330529
86.4037251122,749.165299435,29.8553,42,34.2534255828,237.264946791,147.133826459,36.3976,10.0141,42,82.5977559153,34.5766,-37.1953,34.6024934901,47.0852730803,302.325920633,0.745777,1.82543384936,51.6879516114,34.2439,-15.8766899794
89.2508014637,902.750652316,30.2016,43,36.0181186486,227.69218551,165.690687303,37.0303,10.2555,43,91.560169123,36.2988,-38.9598,36.3128081211,102.244921386,275.184246621,0.702286,1.87799778752,-74.1783024296,36.0102,18.4106940804
109.586377713,429.125993735,30.4991,44,37.793422535,203.233908686,64.0170084256,37.616,11.7919,44,96.319407993,38.0349,-40.7388,38.052361439,158.980282409,300.481426766,0.729298,1.98142851679,90.680331571,37.7825,23.4106289955
91.976865963,531.632040716,30.768,45,39.6002776182,241.794639928,101.231718788,38.1768,11.5079,45,111.207859759,39.8157,-42.5318,39.8269472628,136.669785924,296.037825453,0.738615,2.01048240786,19.5762619759,39.5935,10.681800889
88.2027511426,604.799403246,31.0485,46,41.4958621754,231.926159018,97.7460630261,38.765,12.7553,46,94.6848397363,41.6799,-44.4935,41.6918892165,259.288526952,390.087775797,0.736188,2.07287190459,46.5386012664,41.484,87.1699625592
103.051593864,578.364477199,31.3746,47,43.2436655135,257.309074151,103.153682846,39.3632,12.6574,47,75.9726865067,43.4109,-46.298,43.4155729803,114.064631701,235.887822584,0.727549,2.11645512773,67.5446754882,43.2352,22.4552166209
87.9888146912,478.177917149,31.7239,48,44.9572829635,195.74853307,98.9198623322,39.919,13.5845,48,114.136713075,45.1064,-48.0619,45.1141977702,113.067994434,373.906274868,0.733947,2.17970540021,-3.31897925634,44.9475,2.40159097934
98.7442650157,538.564556436,32.0902,49,46.7940072487,228.80520619,101.585864914,40.4763,14.1036,49,107.674893858,46.9349,-49.8857,46.9363842826,100.941680277,293.250627892,0.713086,2.21999873733,25.0637988786,46.7829,2.32563425198
91.6255394724,306.436149557,32.3932,50,48.410020614,182.588195552,56.3672067342,40.978,14.4812,50,86.1848381892,48.5498,-51.5312,48.5451168026,98.0548612184,237.6659812,0.752856,2.25383644696,44.2878809475,48.4048,1.97881168051
91.6450494939,436.215937454,32.7312,51,50.1553604127,189.540963929,77.0049987131,41.4875,15.0608,51,71.2012829968,50.2796,-53.2913,50.2807935961,82.4504456213,210.016336091,0.733498,2.31090446402,77.3965488449,50.143,6.78736775783
81.701392905,435.335842325,33.0598,52,51.7632550106,179.798975919,85.4103705155,41.9723,15.723,52,127.447908329,51.8892,-54.8821,51.8887093603,156.127181695,319.642553003,0.747981,2.33896466227,-4.38719134702,51.7537,-55.1025684303
88.5159026945,402.674814235,33.4316,53,53.3879795606,189.441201078,80.8076891542,42.4975,16.3171,53,81.9918189573,53.5063,-56.5652,53.5029863396,68.6942747988,238.982725205,0.743088,2.3797241709,-46.2494975293,53.3779,-11.019061674
81.7013135472,515.692139979,33.8236,54,54.8856568354,206.774822635,126.970944822,42.9663,17.4643,54,88.2499504857,55.0042,-58.1175,55.003447717,132.138530434,276.238756156,0.7562,2.4534378827,-82.7874347446,54.8735,8.62115141968
90.5071284716,1242.95621767,34.2165,55,56.5804376184,235.504322578,172.826632364,43.4277,17.2151,55,86.3673078585,56.6961,-59.7918,56.6913016839,103.441813026,234.041419865,0.768361,2.48101846806,24.6202116621,56.5676,2.85544699746
95.7695954519,723.324941062,34.5382,56,58.0916363525,273.574353795,143.755243268,43.8862,17.6711,56,109.451442211,58.2058,-61.351,58.1983915569,64.7567657456,375.801690527,0.767595,2.51142541548,12.7881002704,58.0807,-11.3870511178
31.4006102737,466.043182273,34.8485,57,59.6741035766,94.1409699766,135.029291367,44.3261,18.7229,57,36.9705224814,59.7792,-62.9525,59.7770792103,67.3461782859,142.96515956,0.776425,2.54016912617,-18.6991621268,59.6586,-2.65973643544
85.1055847805,385.589176953,35.1209,58,61.2935910644,158.282205862,74.0655074491,44.7239,18.3851,58,85.1812790009,61.4115,-64.6241,61.398722048,72.9483428735,223.405759256,0.756428,2.55283892582,68.3002969553,61.2833,-17.5387192094
72.928645941,572.322390165,35.3309,59,62.7227538614,171.490134747,124.110744825,45.1442,19.4188,59,78.4443293496,62.8406,-66.0704,62.8293149602,79.3393402586,240.826142629,0.754595,2.60232607003,38.1413035231,62.709,-24.2939718676
71.1601281047,431.980309153,35.5542,60,64.3613175381,146.170823596,126.775128356,45.5084,19.6078,60,146.005383718,64.4781,-67.7422,64.4645848812,120.902653772,405.206795342,0.78435,2.63466247586,-222.810078666,64.3478,-0.471238275753
98.8942667814,510.671958508,35.7262,61,65.7209715521,231.986502881,106.317626069,45.9161,21.0359,61,91.6904959606,65.8445,-69.0888,65.8318388923,88.2820363601,256.01509225,0.773023,2.66913295898,67.7967356817,65.7085,-40.6181813422
83.8472377974,553.004600515,35.9693,62,67.0632948192,206.9293545,136.04937682,46.3085,20.6135,62,162.345930115,67.1976,-70.4886,67.1823862724,133.70788131,481.282098289,0.780622,2.70125658443,-179.137211628,67.0487,-37.4518504743
42.4114295334,952.930847992,36.1474,63,68.5332417718,164.463543064,241.821968998,46.6224,21.4265,63,76.9012641131,68.6831,-71.8893,68.6587437451,67.7580427482,181.346520511,0.804982,2.76491150541,-179.62013713,68.5215,-41.4145660373
89.2695084641,886.569625238,36.3856,64,69.971099527,251.45484052,177.90449375,47.0042,22.2908,64,68.0001281743,70.1078,-73.3972,70.0876682908,105.997662121,241.201701481,0.809146,2.77550984515,21.3195854966,69.9599,58.0891498775
73.0121427506,490.143141751,36.5862,65,71.3458982594,154.690316942,121.035646275,47.4036,23.6317,65,75.4518165424,71.482,-74.814,71.4607729506,101.88934801,246.341902495,0.795994,2.83148590587,-80.1145268487,71.3312,22.0398075916
85.8460244785,1110.15544732,36.8452,66,72.8460542965,197.091202841,135.046557653,47.8076,24.1409,66,110.448959928,72.9848,-76.2969,72.9615234795,103.750176172,329.732032072,0.801846,2.87650416028,-7.97152828568,72.8344,-4.00352464384
63.1156114915,471.082861302,37.0313,67,74.3445299373,120.856769018,80.5938143751,48.1925,23.695,67,83.4786269046,74.4885,-77.7544,74.4616939457,150.075592857,267.750612452,0.803913,2.89210302784,-19.6384131493,74.3338,30.8644711104
56.5350665154,467.53294905,37.2343,68,75.7739548716,104.976767443,72.4722522067,48.58,24.2245,68,77.9841336054,75.908,-79.2723,75.8917463205,166.898229046,272.631801444,0.801341,2.93190463154,25.0664889798,75.7571,31.8183357142
93.933804973,569.230037697,37.396,69,77.1819542505,243.530132689,107.001228595,48.9493,24.6557,69,126.300823049,77.3354,-80.6811,77.3103013159,142.011846513,395.666380621,0.771801,2.96184255309,89.4098246915,77.1703,-0.0184985534244
65.6659228114,250.319457397,37.6068,70,78.8812333607,101.323855631,30.7037192285,49.307,25.2826,70,61.0737681531,79.0247,-82.3428,79.0034315982,63.4827369494,214.394926858,0.790304,2.99687924059,72.8888092532,78.8648,-0.859553792743
62.531845882,347.920648749,37.7778,71,80.2606764252,142.729475406,106.403870397,49.6367,26.1365,71,108.65467192,80.4033,-83.6731,80.3717340414,126.685534862,401.354943169,0.782826,3.04344954572,-277.393584238,80.2453,-1.30609526003
111.070554436,529.372739872,38.0001,72,81.6522314894,271.44061928,105.326202498,50.0108,27.8361,72,87.7459675301,81.7916,-85.0973,81.762484977,93.8209599782,169.689838172,0.786533,3.07171426128,119.932017509,81.6372,-133.098692236
102.917586647,478.104722793,38.2201,73,83.1676073764,209.756481017,68.021928096,50.3424,27.3652,73,71.8001503315,83.2931,-86.6487,83.265397424,100.454473548,259.656245701,0.792865,3.08435798024,98.7275042791,83.1549,-0.323530210229
114.310343582,453.364063302,38.373,74,84.356699571,271.63021521,67.5352640887,50.6094,29.768,74,71.4898913331,84.4775,-87.878,84.4556013496,148.190998533,285.951433216,0.768889,3.12807250221,164.769584528,84.3396,49.3972472615
86.0635158763,352.34300592,38.5432,75,85.7418931368,152.593794344,43.262968915,50.9162,28.5422,75,95.3628061469,85.8619,-89.3251,85.8407464445,199.710383283,357.479227346,0.784858,3.14153901796,88.5120266541,85.7251,70.6797096392
87.8089372739,395.024254768,38.6771,76,87.3667829917,235.130974618,65.2421457096,51.2326,29.8136,76,182.198855929,87.4862,-91.059,87.4608383877,206.317341023,634.156672415,0.810521,3.20156331154,-26.7430878218,87.3453,3.74171586894
77.4553313127,463.399104092,38.8541,77,88.8227808183,258.579983439,77.206864635,51.6014,31.8274,77,111.473388468,88.9496,-92.5753,88.9207878032,149.585489108,365.745665843,0.81004,3.22011610351,162.496147907,88.8098,1.29413410553
88.7054290884,734.843842448,39.0153,78,90.57781039,201.463508177,97.577544221,51.9097,30.3105,78,133.407149088,90.6918,-94.2834,90.6645861392,138.207820426,409.827756059,0.82232,3.2007293552,104.809704603,90.5625,0.197601844823
