StdEsReturn,AverageEsReturn,MinEsReturn,AverageAction,PolicyRegParamNorm,MinReturn,AverageQLoss,AverageDiscountedReturn,Iteration,StdReturn,AverageAbsQYDiff,AverageQ,AverageAbsQ,QFunRegParamNorm,AveragePolicySurr,AverageY,Epoch,MaxEsReturn,AverageAbsY,AverageReturn,MaxReturn
3.89858800382,-4.29892695118,-17.4281791398,0.201327,11.7099,-4.64348782427,19.5339,-1.36648108492,9,1.97079028076,4.04002007569,-1.26568,1.3672,11.4913,0.664694,2.77434447414,9,10.9950314426,2.84831425539,-3.01242833135,4.40146752609
2.51078219066,-7.87105000837,-18.1015342145,0.999976,12.2348,-8.44717836363,0.467915,-7.97395517324,10,0.0688725116968,0.427913090416,1.18316,1.35544,11.7754,-1.56558,1.22254936885,10,1.33679772412,1.46225197715,-8.25749327341,-8.03879838566
1.45781016837,-7.43846445589,-16.304062896,0.999993,12.6687,-11.3396071483,0.066805,-5.32805763521,11,1.2307248961,0.196124925188,0.446412,1.33319,11.9971,-0.590509,0.449392971742,11,0.72706725449,1.34711210265,-8.68759924959,-6.06329761428
15.3658176499,-13.3630447537,-48.3747040496,1.0,12.7171,-11.2634855437,0.0861552,-5.30838453453,12,1.31839555981,0.222604833563,0.212623,1.76963,12.5122,-1.28334,0.214958018025,12,23.485054199,1.77919521501,-8.65425948151,-6.10072429719
9.65049969231,-11.3430802758,-41.2343879246,1.0,12.7154,-10.9999342969,0.10706,-5.29177251215,13,1.29634315527,0.244701390342,0.585473,2.17056,13.2458,-1.75297,0.588262892764,13,5.7681316859,2.18176141498,-8.64361829148,-5.78580833336
5.62328265057,-13.3433730075,-24.32756376,0.504985,13.4067,116.153539909,0.128337,108.681009311,14,60.3156721469,0.260885000693,0.772435,2.52296,13.9698,-2.08513,0.773944045957,14,-6.48536559758,2.53529569972,308.463321525,400.074960942
124.400641002,137.049665724,48.7490602825,0.492196,14.4638,38.8041908192,0.1579,55.6749859072,15,104.909148443,0.275925543534,1.5035,3.0284,14.597,-3.07714,1.50593134219,15,384.08790193,3.04388020683,97.825669468,502.92929092
15.2719142168,77.997971282,52.6332761686,0.451387,15.5121,54.9976643023,0.205548,50.7617860742,16,7.84201643399,0.306491725454,2.32117,3.69023,15.3202,-3.87014,2.32294155091,16,92.2353306476,3.70941274229,70.7057147016,95.8992701497
206.448313594,173.646453137,8.23023818645,0.494467,16.2813,16.2888669736,0.315549,33.8554559288,17,7.2203266452,0.344383635417,3.16971,4.4746,16.1159,-4.76371,3.17250306053,17,472.012011259,4.49527850394,31.2879117427,45.9285603512
41.9797590087,57.9671666002,-5.23689952809,0.644474,16.8674,200.984594904,0.369014,119.737541597,18,125.764468224,0.381301778458,3.84159,5.11394,16.9135,-5.42932,3.84396632902,18,134.559946331,5.13486920604,499.627599262,915.936799623
82.4176234905,63.9812871531,-25.1016356323,0.565264,17.4586,603.23722102,0.454074,118.234859294,19,94.6199207998,0.409056244179,4.5856,5.83309,17.6374,-6.17949,4.58816554674,19,196.305463472,5.85475253903,741.659767814,886.814202698
119.599907211,193.298237697,53.4431253563,0.584586,17.8808,2.73946174149,0.553205,22.5486570662,20,5.43074390562,0.452231107883,5.46024,6.65858,18.3603,-7.09358,5.46383333759,20,366.752515918,6.6817974686,10.7048564795,31.3572974066
127.944569111,118.466672792,-1.37241716841,0.617552,18.4019,407.728697406,0.668247,103.691481135,21,54.8277556964,0.478739953723,6.38405,7.5447,19.0175,-8.01596,6.38618469233,21,372.994803168,7.56704197291,544.905536191,655.798313087
129.32093546,162.177915036,50.060645737,0.689545,18.9497,38.2996858643,0.824382,50.0491232499,22,10.4623004777,0.530831052066,7.11397,8.25602,19.6908,-8.78841,7.11695204081,22,343.369059314,8.28204121793,62.5929238073,86.5035623316
128.356806357,132.266393465,12.2826734027,0.622453,19.4989,37.4048045266,0.92153,50.6031725193,23,14.0928662699,0.559542839388,8.02742,9.12733,20.3155,-9.70477,8.03163952101,23,298.950286411,9.14856771444,65.5635980886,96.0802084326
147.386701021,162.81929434,28.1729830463,0.638582,20.0214,182.005478922,1.11465,115.952804525,24,217.961734735,0.591356739462,8.85194,9.88576,20.9907,-10.5626,8.85556728214,24,406.453531432,9.90763920409,469.377553004,1166.52149494
174.777592327,303.283138836,118.278822215,0.701867,20.4086,433.423220954,1.07605,126.783638454,25,146.659295653,0.606342068759,9.85444,10.8751,21.4898,-11.5674,9.85826557881,25,585.264764188,10.8929250038,599.271089454,1149.83134561
85.3648310759,378.027916973,240.985463375,0.631799,20.9875,31.381206283,1.56238,92.9279196217,26,210.68697814,0.69843314584,11.2049,12.1297,22.0925,-12.8913,11.209190822,26,510.1289248,12.1473096969,317.081710803,705.038045182
114.902988455,145.517666364,25.0338299184,0.713441,21.5606,123.065431426,1.63634,104.555484233,27,157.944583362,0.710957368833,12.4367,13.2667,22.6666,-14.1797,12.4442596684,27,311.001389201,13.2847696043,388.532093908,781.73515012
121.581192371,238.948262059,54.8022320713,0.69683,22.0261,399.329468802,1.86933,127.175137467,28,27.7727230269,0.757808547335,13.5984,14.363,23.1904,-15.3439,13.6033745265,28,368.685766814,14.3762406597,453.893391595,531.949296324
123.340783578,187.412920962,6.27115519457,0.615204,22.3875,536.836665923,2.09876,96.8292521293,29,173.932321976,0.797568295257,14.804,15.5056,23.736,-16.5698,14.8114381591,29,333.1940686,15.5180409499,864.519817274,977.540313568
126.526282837,261.130780983,78.7252771197,0.686034,22.8444,101.326011422,2.92095,111.875361038,30,136.031576868,0.88767387606,16.207,16.8577,24.3054,-18.0002,16.2132966698,30,400.50586103,16.8677577661,357.44851277,560.77694948
146.499892315,180.162739217,43.5131519281,0.73244,23.3397,71.5741371189,3.30971,91.625982288,31,366.412782762,0.952011127866,17.4213,18.0406,24.9377,-19.2951,17.4320603785,31,421.274032534,18.0560023467,622.894636975,1072.59494646
103.466078478,205.298228359,28.6032453655,0.738706,23.762,218.07161298,3.87262,109.623440693,32,275.389522286,1.01032564637,18.5395,19.1569,25.5496,-20.3804,18.5476206208,32,362.65334055,19.1669822053,542.374499414,967.97976441
137.691569802,307.792458011,49.8331590059,0.725179,24.1986,141.020591485,3.80531,120.856681812,33,119.424763269,1.03878986121,19.8393,20.4078,26.1711,-21.758,19.8485098741,33,446.536751695,20.4170656817,387.120890372,721.726930943
160.086611411,233.181825419,25.1015835497,0.70757,24.5925,48.1148711647,4.2079,92.7773227976,34,188.92565083,1.10816513368,21.0962,21.6497,26.7859,-23.0682,21.1063412943,34,428.176664165,21.6609764211,287.730337194,1055.02774342
131.044259313,206.793129661,101.570241323,0.77544,24.9319,416.933616692,4.50833,103.753000613,35,209.203834089,1.16464544933,22.7351,23.2668,27.332,-24.7327,22.745355632,35,441.268362923,23.2787972674,844.705104624,986.584050881
390.02946061,618.400570979,228.371110369,0.692833,25.271,422.464660663,5.24238,109.587420366,36,240.261691152,1.21082541004,24.0711,24.582,27.9156,-26.0543,24.0826920606,36,1008.43003159,24.5907912443,731.651591104,1013.03785108
173.766448561,201.428354202,10.4241270397,0.722658,25.5409,69.7621433183,5.45219,110.535748754,37,157.940707194,1.24206751816,25.0563,25.5439,28.4381,-27.0955,25.063573504,37,419.636122602,25.5491553935,399.338720673,802.003719246
232.503374886,265.572657061,34.2428427676,0.767689,25.9477,609.665512697,6.29053,89.9941882482,38,74.8797933424,1.33360513833,26.5237,26.9805,29.052,-28.6238,26.5353693787,38,554.86536519,26.9908215986,694.911611046,887.150718038
199.976857049,276.696613079,-2.06675385365,0.769772,26.2039,-28.1154306663,6.95315,80.1398455088,39,187.800175928,1.38034881201,27.8758,28.2882,29.6244,-29.9648,27.8846580716,39,571.06349898,28.2994346383,266.619626253,703.397676207
86.2850539479,79.8576297673,-3.75611811424,0.781954,26.4667,60.748802489,6.88153,94.2028395791,40,326.525961244,1.43211997824,29.2761,29.6637,30.1054,-31.4286,29.2861474907,40,247.97468687,29.6697306338,519.09501418,1008.10057417
116.422659321,127.464625461,-31.215345272,0.754534,26.827,106.841363116,8.23744,94.2916133466,41,255.674785674,1.54632418065,30.7299,31.089,30.6428,-32.901,30.7418284343,41,280.625322176,31.0965101427,458.727249658,999.521096876
126.5384868,135.603948202,-1.65632880407,0.770465,27.153,-8.91647929543,8.8897,89.644134711,42,86.9077285873,1.61191031884,32.0424,32.3683,31.1574,-34.2764,32.0566639718,42,389.884596815,32.3762504179,172.382629767,512.999774002
70.448644634,64.4077327909,-6.797465452,0.723053,27.411,100.645610483,9.75564,78.9479852936,43,297.116806877,1.68856784612,33.2394,33.5626,31.6566,-35.4958,33.2484833564,43,169.153339118,33.5720161084,532.320277641,937.121531296
70.9026614852,90.5004028795,15.9600888805,0.74152,27.7045,-27.636400739,10.5141,54.6495246754,44,132.43837401,1.7756932238,34.761,35.0764,32.1928,-36.9977,34.7738339094,44,254.619303558,35.0870860225,170.968934432,449.724659858
87.340036095,122.097496949,14.2448300696,0.72247,27.9354,5.01360180965,12.397,68.7912714342,45,231.910756488,1.91596502304,35.9557,36.2439,32.7901,-38.2379,35.9685356668,45,252.325787159,36.2523737641,219.454704686,890.249740027
69.4502566138,82.4296296689,-7.3286448674,0.76505,28.1528,-14.0160396148,11.8944,76.9306206518,46,79.2360132375,1.93576549022,37.3825,37.6556,33.2531,-39.6944,37.3991625108,46,170.958308245,37.6694284043,144.01427392,316.713387249
96.3887415883,167.36285497,17.0853660724,0.729627,28.4105,-55.0567861936,13.0275,33.778414277,47,130.817729365,1.98364690914,38.2272,38.5156,33.6981,-40.5249,38.2386226079,47,266.466614782,38.525397817,72.6924505613,441.778009088
97.2890453427,101.733663298,-17.123776908,0.737649,28.5575,-57.0238410508,13.5541,54.6799235921,48,99.9683162612,2.05882619294,39.8739,40.1362,34.1713,-42.1937,39.8865671985,48,199.972190264,40.1456139595,110.819279412,314.920812664
109.846305756,104.146793528,-22.7069754132,0.73535,28.6972,24.4741478491,16.867,90.1245868497,49,58.3964444019,2.21508395369,40.6447,40.9179,34.6459,-43.0611,40.6616699847,49,232.930060233,40.9331859975,166.249017516,320.882067594
120.978759924,135.065803283,-21.3815222171,0.72027,28.9265,58.2564884903,15.4824,110.321283038,50,93.6158816551,2.19450692718,42.0914,42.3432,35.055,-44.4542,42.1000441424,50,312.536911717,42.3409505169,308.5748146,563.089151137
119.551005585,117.439884704,-42.8539276596,0.731595,29.2468,4.48040538555,15.1667,83.0265795872,51,215.614740729,2.25970046788,43.1463,43.3718,35.5762,-45.5368,43.1575345277,51,305.032564432,43.3756449854,250.645065027,1082.49804878
94.4530654479,131.335664043,0.607924274498,0.73586,29.5024,100.698863888,15.2576,82.5213680855,52,37.5990032496,2.29188061718,44.7236,44.9529,36.0599,-47.1211,44.738739522,52,252.960993378,44.9560337129,137.753109097,311.587642543
46.8194650648,113.529915888,58.1238843938,0.699877,29.7866,96.172272151,16.9893,124.427274046,53,103.989626875,2.41124578757,45.8633,46.0757,36.487,-48.3551,45.8795757256,53,191.345610378,46.0817917518,286.495882094,524.360319188
161.991103144,248.290813541,4.52580198234,0.716402,29.9465,7.89642286167,19.9025,106.427190285,54,98.9780010071,2.46269705441,47.4875,47.6881,36.9677,-50.045,47.5052935326,54,406.435619933,47.6908988382,273.968741893,437.87570728
61.0651831437,166.681895428,97.5725624955,0.722587,30.093,126.587734981,18.4019,115.672018928,55,70.3237392948,2.48150749092,48.9795,49.1859,37.3419,-51.6424,48.9911789147,55,315.225037824,49.1818342162,236.155500542,469.281373093
108.833746616,105.756322221,-28.5335485131,0.722915,30.2326,78.782713618,19.6677,100.069909982,56,75.7287217479,2.53890484121,50.7386,50.9537,37.7971,-53.2984,50.7589828286,56,296.174706571,50.9552974366,183.87141173,360.412173829
109.371536209,147.543913489,16.6146268642,0.749499,30.4941,-75.8429012651,21.2142,93.8867825589,57,72.0331803629,2.62338404386,52.3663,52.5802,38.2083,-54.8511,52.379334047,57,354.87316072,52.5819227218,205.948404664,346.873135057
138.315724769,138.835594958,-23.4207045446,0.774858,30.6488,20.9895375,21.4936,100.643429574,58,216.249975906,2.69457126622,53.4912,53.6874,38.6854,-56.1707,53.5069557335,58,333.407270398,53.6831893481,329.479369244,991.681576996
153.251494924,217.897587221,19.9034219916,0.708561,30.8964,-44.6374266241,21.4223,66.3480279432,59,54.3084913343,2.66881423105,54.9997,55.1869,39.0872,-57.6672,55.0145690415,59,483.460370504,55.1847096497,122.013942758,247.922912926
73.1782914473,122.604608612,5.84503092339,0.760031,31.1396,110.261086222,22.1211,91.3679888896,60,45.3590813075,2.77603741927,56.5065,56.7001,39.5148,-59.1657,56.5247275311,60,193.680385,56.6980741933,174.064072994,350.684666987
