AverageAbsQ,AverageAction,AverageQLoss,Epoch,QFunRegParamNorm,MaxEsReturn,MinEsReturn,MaxReturn,AverageReturn,AverageQ,AverageEsReturn,AverageAbsY,AverageDiscountedReturn,Iteration,AveragePolicySurr,AverageY,MinReturn,StdEsReturn,AverageAbsQYDiff,StdReturn,PolicyRegParamNorm
1.42436,0.207134,19.4886,9,11.491,16.4156290838,-16.5864971185,3.01207356505,-3.59750546952,-1.24123,-4.18057176419,2.68094328584,-1.84752736559,9,0.515106,2.51931576893,-5.34249975797,3.87152512245,3.83172246209,0.735369352785,11.7099
1.37645,0.999977,0.448194,10,11.845,1.97509658042,-18.013880509,-8.05911479398,-8.25585212444,1.22539,-8.01960129612,1.4811471416,-7.97238620128,10,-1.60766,1.25958576283,-8.44931617079,2.82474944839,0.413690103028,0.0670505284708,12.3228
1.36112,0.99994,0.0644661,11,12.1041,-4.90470001314,-18.5526344171,-8.05060772527,-8.25562318988,0.606332,-7.75336547057,1.37776043055,-7.97215924634,11,-0.595766,0.607718784378,-8.43950173545,1.38522453635,0.190402058995,0.0659246540594,12.3598
1.8375,0.996925,0.0681333,12,12.6562,-3.93612285412,-23.4759763762,-5.1815396451,-8.24144809042,-0.0977275,-6.11959136456,1.84274613636,-4.92507343408,12,-0.226992,-0.0978508164576,-10.9555544528,2.14018796219,0.196861846718,1.39416279163,13.3297
2.1684,0.996528,0.0946142,13,13.5202,-5.48978065716,-44.976508454,-5.15351865398,-8.2247636008,-0.120626,-16.9733433944,2.17793260493,-4.96267820945,13,-1.18537,-0.118936513447,-11.7764958738,13.5898518355,0.229825591077,1.35553336191,14.083
2.59672,0.963816,0.117233,14,14.3054,272.8263233,-8.87158092069,427.657698958,84.9464740674,0.747056,90.7871603302,2.6098775978,58.7063134409,14,-2.38619,0.748491505253,51.7145320376,102.678939981,0.241620682842,51.3521890862,14.6574
3.18834,0.867741,0.126104,15,15.0364,260.648291658,51.8234062142,417.805997786,97.1679405823,1.67117,117.402841309,3.20009156098,61.1386065304,15,-3.24568,1.6726848047,49.3577697335,75.6990255003,0.243208723445,70.7866713625,15.1497
3.92848,0.877429,0.191436,16,15.8734,409.376722539,12.6932161976,387.938289561,89.31199335,2.55676,150.71044887,3.94177061773,59.925450846,16,-4.151,2.55785326862,53.1082081772,153.751390938,0.27191292726,51.3289901143,15.5421
4.61301,0.955585,0.236207,17,16.6854,143.565679582,59.124993947,542.515479498,187.546560769,3.32031,105.23734932,4.62574222463,78.3196288966,17,-4.9655,3.32140056645,24.3617138237,31.7450220277,0.290595108316,152.351982309,16.4483
5.47371,0.837564,0.303756,18,17.5239,351.77803365,50.6750702995,404.017237796,160.35035842,4.247,218.262600712,5.48768875482,71.5206002319,18,-5.97401,4.2489184837,51.9211203057,114.540840965,0.326954612338,118.972153976,17.275
6.52664,0.819707,0.419578,19,18.2192,313.060488733,46.8641228875,412.051775314,243.25644535,5.4786,202.509122362,6.54036312601,101.304879135,19,-7.28218,5.48081493661,52.3522232522,97.167962504,0.36992593868,99.1850299898,18.1307
7.62247,0.777097,0.673999,20,19.0852,338.315325752,53.674190085,477.700103309,119.284929124,6.68325,221.559465659,7.63719454793,63.0940896832,20,-8.53144,6.6852794435,43.7192138874,79.3054528273,0.430768485893,104.5078838,18.7794
8.82424,0.732604,0.803564,21,19.8837,240.377377762,37.9965039702,452.243321015,100.7562658,7.97593,119.814417634,8.83782021383,60.4359002783,21,-9.86765,7.97846849704,43.5076279621,80.2214775844,0.46115617612,73.9020621312,19.4743
9.9666,0.748658,1.12581,22,20.8074,523.580634852,70.1963181735,487.881759302,178.850797413,9.16158,265.608737531,9.97988949103,75.4045232101,22,-11.0626,9.16505299414,65.5492103065,164.336655435,0.534083307148,123.18593299,20.4364
11.2126,0.763978,1.10357,23,21.5783,440.027985133,251.035277323,528.59689505,292.212486148,10.4447,338.681533474,11.2219239784,101.446112349,23,-12.408,10.4486126796,75.0405106767,77.7617404599,0.545980702621,110.891056237,21.3791
12.5067,0.772803,1.18863,24,22.3833,450.964646887,120.492299278,354.991905116,70.4586046606,11.7902,324.197625349,12.5108738443,49.3074533158,24,-13.7302,11.7928817847,24.9424761697,123.7355148,0.590592223287,64.2114232978,22.3321
13.6985,0.788962,1.50521,25,23.2463,432.117578368,67.3269419866,448.872991031,234.082128232,12.9914,272.700233546,13.7015302695,85.9662629746,25,-14.9137,12.9952270835,56.8303169429,136.030776824,0.647695307073,134.636451048,23.052
14.8654,0.806677,1.65114,26,24.0986,281.356749374,9.56112573431,565.317412957,248.080753944,14.1644,125.557824812,14.8674732677,93.024037415,26,-16.0934,14.1687632136,55.6197389134,121.012249825,0.692650325751,124.017758825,23.5871
15.955,0.827407,1.79046,27,24.9505,329.197956163,27.8665773852,544.158769879,256.961338033,15.2302,183.490915316,15.9543467795,94.212447251,27,-17.1389,15.2336041925,41.5980015704,117.014002294,0.734305568533,115.692099287,24.2803
17.1447,0.803966,2.11327,28,25.7927,220.083511885,62.168107576,457.544825232,206.944613798,16.3762,174.847037263,17.1455199621,85.095057184,28,-18.328,16.3795588253,18.781021322,53.3138569205,0.795331019086,120.433690158,24.7525
18.1676,0.802315,2.36483,29,26.5089,272.498482896,-27.0286351178,422.357775091,166.090463485,17.3286,140.387350328,18.1684232094,67.9319299196,29,-19.3048,17.3322923536,16.5203380791,112.647783996,0.841468047483,128.361575158,25.1922
19.255,0.833784,2.67075,30,27.2232,305.30505745,-12.6318987168,575.933394213,176.103694944,18.4199,128.648003706,19.2565981651,68.6552005741,30,-20.3942,18.4246277851,11.3874117258,132.393025487,0.907007907752,148.745396476,25.6368
20.3,0.8306,2.91991,31,27.9506,252.997030304,64.9381820922,705.469934529,333.089087281,19.5056,158.174686953,20.3054591749,110.096028009,31,-21.4421,19.5100756116,125.628933079,71.4742415512,0.953639926053,131.393115111,26.1225
21.3274,0.784206,3.06305,32,28.6191,214.368628707,-38.6461092361,570.926478872,235.335214465,20.5764,106.027197218,21.3327043025,88.3267671348,32,-22.6023,20.5822133433,25.1689774929,90.8648671541,0.980120212355,148.48030152,26.5602
