AverageQLoss,AverageEsReturn,MinReturn,PolicyRegParamNorm,AverageQ,AverageY,AverageDiscountedReturn,AverageReturn,AverageAbsY,Epoch,AveragePolicySurr,StdEsReturn,MaxReturn,MaxEsReturn,AverageAbsQYDiff,AverageAbsQ,AverageAction,Iteration,MinEsReturn,QFunRegParamNorm,StdReturn
8.12461,-9.73976679925,-8.34293859688,11.7818,0.257893,2.79199805078,-7.63627961551,-8.23826960466,2.81362591709,9,-0.785515,3.27367843475,-8.13573915597,1.90944143879,2.68522224647,0.591084,0.563273,9,-18.1460390466,11.5835,0.0363380190965
0.364292,-7.73198449667,-8.27943963623,12.6311,1.57474,1.58712277933,-7.84714286297,-8.12950163571,1.61661399594,10,-2.37065,1.69332146364,-7.98656289377,-2.65969547329,0.385575317882,1.58451,0.975487,10,-16.6848728699,11.8566,0.0631308206818
0.0449824,-7.31637285564,-8.24282952776,12.7724,1.02796,1.03183346049,-7.81567100575,-8.09296337423,1.06385266934,11,-1.38949,1.7856498638,-7.92395466708,0.474962194028,0.154342180874,1.05417,0.999998,11,-12.7611923203,11.9569,0.0645297013945
0.0235371,-7.38110652092,-8.25390966156,12.7833,0.964349,0.965856239812,-7.81136970333,-8.08849008463,1.01033800959,12,-1.17909,1.83502386649,-7.9205778187,-4.02003734507,0.116234480381,1.00703,0.999999,12,-14.8222682785,12.0789,0.0642358659063
0.0174933,-7.34121877289,-8.25150286321,12.7856,0.720594,0.721112978099,-7.8148732679,-8.09214460104,0.840796710538,13,-0.758042,1.6030475191,-7.93196091046,-3.63806718465,0.102066654812,0.8368,1.0,13,-12.4704173216,12.2428,0.0645672243238
0.0156492,-7.13158353773,68.8107470325,13.2702,0.348301,0.348170314773,47.5505924595,70.7114594889,0.660049360277,14,-0.44969,4.81975315688,85.1405362048,37.6789221492,0.0950553633838,0.656047,0.999897,14,-25.1503200585,12.4284,1.82199718392
0.0179435,16.3502515409,-11.3213261228,13.4022,0.543491,0.545360578018,-5.28751561996,-8.62805387561,0.77682982983,15,-1.14279,83.2696246033,-5.81480812529,289.077256222,0.096618927813,0.772285,0.999974,15,-28.5561076096,12.6421,1.31191070324
0.0129574,-17.7780918726,-11.0826085475,13.4205,0.880156,0.880977722573,-5.35693842089,-8.72775609746,0.990972656993,16,-1.54295,11.6266819337,-5.82441980515,-5.18094607251,0.0835070525624,0.98752,0.999988,16,-42.8413923293,12.8702,1.32315761451
0.0149421,-10.7423027392,-12.6450526718,13.8681,1.12876,1.12972574144,-5.98838825639,-9.22029030636,1.21144859063,17,-1.73837,4.49688320105,-5.85546988811,-3.3852033728,0.0869636902023,1.20733,0.918627,17,-20.9765516918,13.1935,1.45572392873
0.0148035,-14.02652599,-17.195879545,14.6693,1.31488,1.31549350682,-12.0396178109,-14.9137306849,1.39531685097,18,-1.84933,11.0935506323,-11.6647349898,-0.133192291757,0.0849837451242,1.39167,0.690166,18,-51.0538360309,13.4966,1.3327564304
0.0165363,-13.4089081738,-41.2357425904,15.885,1.42663,1.42699392732,-6.51131454111,-13.6847482448,1.51666967097,19,-1.90636,11.653516177,-3.37307175594,7.29363023259,0.0901251251439,1.51319,0.795304,19,-47.2064622793,13.8671,6.99642588387
0.0178049,-21.8623387765,-35.249370448,16.7262,1.50586,1.50628533034,-9.03180611911,-20.9605353367,1.59045867417,20,-1.97887,15.9788834074,-6.53250770854,6.68298404349,0.092565067641,1.58729,0.785488,20,-46.8050003496,14.1984,5.32618289965
0.0203021,1.16289032049,-22.9381860996,17.3536,1.59591,1.59655626624,-8.48767460712,-20.504529135,1.66716114464,21,-2.05442,28.6746409683,-14.9985313755,50.1111081273,0.0952032979446,1.66285,0.769765,21,-33.7015388597,14.6072,1.54117339143
0.0225961,-13.0869341299,-55.8742860947,17.9005,1.69465,1.69552815476,-8.11125224772,-31.9789239054,1.75394025025,22,-2.12709,8.6709121732,-11.3771165813,1.3981059299,0.097305631179,1.74889,0.882204,22,-28.6943494684,15.081,7.84125454173
0.0214508,24.7599040721,-12.5229698631,18.5029,1.77757,1.77809412886,35.1129931066,82.4803001688,1.8335634541,23,-2.18139,85.5448358426,653.513882808,240.367900021,0.095798626468,1.82926,0.803583,23,-29.7507130529,15.5568,166.135244605
0.0260469,20.5511227576,79.1856747182,19.0539,1.83952,1.84041404204,87.0971083559,402.093654589,1.89545318994,24,-2.24549,57.5190831729,1124.49140097,150.206675306,0.100692299048,1.89137,0.833872,24,-32.163702463,16.1565,322.64920996
0.0285729,-3.46721077563,-36.4866885704,19.5377,1.9106,1.91122479985,1.15610824807,-18.5396994348,1.96604453796,25,-2.32157,17.8350765457,-5.20777763848,27.3869346661,0.106044865299,1.9625,0.880464,25,-34.3187489382,16.8106,6.59068553717
0.0238312,4.80456267006,-23.8649419402,20.0142,1.97303,1.97352113506,3.56704605178,-15.4406549435,2.03024921445,26,-2.37792,18.3030876684,2.43830009229,36.0895244639,0.101985892581,2.02684,0.847502,26,-14.7839817242,17.3198,5.75341941109
0.0298559,3.55318061957,-25.819214464,20.467,2.04491,2.04583495298,10.4874099227,-7.44517333068,2.10370438968,27,-2.46054,35.5384906683,10.6615327286,61.7586484383,0.108054496816,2.10009,0.842985,27,-39.4112483146,17.9244,8.00991932349
0.0325991,19.7532334637,-14.069156229,20.9944,2.12572,2.12642835646,43.1023007311,60.7121737665,2.18206935502,28,-2.54022,36.1757106325,563.220829817,75.5090779395,0.115244396905,2.17848,0.843115,28,-32.9889390227,18.5935,86.7302336518
0.0334826,47.2534007795,5.72309903916,21.5,2.20829,2.20932316389,79.834081363,197.019667066,2.26811438649,29,-2.61519,91.0182548549,428.320873963,223.085156997,0.117358339648,2.26429,0.809574,29,-28.4461405163,19.0863,122.035718615
0.0361238,6.44799639827,36.4684166556,21.9258,2.27862,2.27923102878,105.010961117,289.662503762,2.34557385542,30,-2.67976,43.7809510148,434.861027919,78.9366495578,0.123356995126,2.34234,0.810366,30,-45.5078981843,19.6549,103.290924623
0.0419336,151.883588029,186.790227635,22.3603,2.38112,2.38217539452,105.27491455,700.725430108,2.45299414814,31,-2.76538,181.208525574,1131.04960975,441.219030693,0.12964972676,2.44933,0.800744,31,-72.9761798355,20.1995,335.099731505
0.0467215,86.1967427622,-9.54572061608,22.7765,2.46118,2.4616663032,74.315895239,248.922171969,2.5398546272,32,-2.84262,117.172337369,700.231338981,261.129141335,0.135012359213,2.53697,0.811452,32,-30.752551911,20.6917,209.40852802
0.0493622,181.042238507,52.8830526914,23.1329,2.55555,2.55652169262,109.607123781,260.841389977,2.63874764209,33,-2.94139,205.168464587,926.838548541,534.386883945,0.140350801217,2.63577,0.809081,33,42.457220507,21.2215,143.934091236
0.0530565,53.1957155173,35.0805675583,23.4577,2.66092,2.66188054369,88.3515720243,258.592027875,2.74811528468,34,-3.03805,81.6175707114,1022.94462128,197.010662026,0.144676595145,2.74486,0.871576,34,-49.312343911,21.717,142.524792195
