PolicyRegParamNorm,AverageReturn,MaxEsReturn,MinReturn,MaxReturn,AverageAbsY,AverageQ,AverageY,AverageAbsQ,AveragePolicySurr,MinEsReturn,Iteration,AverageAbsQYDiff,StdReturn,AverageDiscountedReturn,QFunRegParamNorm,StdEsReturn,AverageAction,AverageQLoss,Epoch,AverageEsReturn
19.6541,-7.03519838467,8.25928942222,-7.46845723712,-6.6389394935,0.52229002829,0.198549,0.480028674329,0.326785,-2.16139,-18.5864677716,9,0.577277965095,0.150182942767,-6.03104680665,19.478,4.46858059062,0.598327,0.465982,9,-9.88782157796
20.7091,-6.7356053288,52.9811132202,-7.10917403586,-6.33970889951,0.190391344182,0.026359,0.0278504160428,0.184227,-0.163744,-11.3962025845,10,0.104026723031,0.129373410112,-6.30348811571,19.6257,10.5182166059,0.999993,0.0349095,10,-0.875752715941
21.631,-9.89990567958,3.10228949084,-11.6607944821,-8.76093199827,0.150281741325,0.0744516,0.0751959031772,0.146797,-0.127349,-10.858448155,11,0.0545964547342,0.903033741473,-9.2672166915,19.71,2.31260873903,0.967421,0.00511709,11,-5.6902209162
22.1096,-86.9314469164,8.0505069067,-92.0818422026,-75.5430300065,0.178191924301,0.0229693,0.023354661769,0.1762,-0.10465,-86.0885331208,12,0.0434413807771,2.97202174112,-35.3332529336,19.8608,28.0255663181,0.999711,0.00327754,12,-24.9728879349
22.152,-86.0509714643,-18.4623577836,-92.9507597001,-72.2030881471,0.221728213638,-0.00272696,-0.0025236306204,0.220282,-0.0736256,-100.199953617,13,0.0386731974515,4.68380069261,-35.2617874491,20.081,25.8716348928,0.999985,0.00261404,13,-48.4589932689
24.684,-35.1637313157,1.18021597731,-45.4863952103,-14.6546170311,0.26411373026,-0.0356488,-0.0354920367689,0.26254,-0.0441806,-72.4311989537,14,0.0402999865982,7.64089217419,-12.78197921,20.5033,22.5576744315,0.934683,0.00299727,14,-40.1177429236
26.303,195.195048308,287.483982027,79.648007717,395.574539995,0.313518237393,0.0303771,0.0307789239539,0.311227,-0.209883,-31.0579832269,15,0.0448359430647,133.071362398,71.9363795911,21.1788,115.870182953,0.877502,0.0039563,15,80.6613450863
26.9387,92.9830855191,465.589987929,63.1007816076,168.784733555,0.39227473461,0.164683,0.16509462385,0.389605,-0.341135,142.747896823,16,0.0453708727622,18.2854003835,59.6445505858,21.9441,125.627912195,0.775972,0.00415545,16,299.267519201
28.0758,189.347962917,353.893786823,61.6424720248,427.943690384,0.495435028993,0.287736,0.288121989538,0.492837,-0.470873,3.41221304404,17,0.0469214984127,140.000966241,73.7920804487,22.869,115.892438583,0.836651,0.00481684,17,173.55142144
30.0399,61.5121663926,315.238801295,48.4876666216,86.6312531611,0.596753260603,0.416013,0.416219297777,0.593985,-0.606446,17.8344908731,18,0.0516221159151,5.97115016346,43.4256846436,24.015,96.6467710143,0.83227,0.00598138,18,136.967659364
31.9263,256.11773949,379.748866116,48.5623436841,366.148288794,0.699637287063,0.539972,0.540364541344,0.696647,-0.732506,113.100538086,19,0.053804232091,128.012896036,98.1888579535,25.1085,113.041447439,0.855061,0.00680931,19,224.88233649
33.5083,1032.81298324,387.152322515,1029.50793623,1035.0792282,0.812099870583,0.677959,0.678295152165,0.809479,-0.875591,99.4829349631,20,0.0582114858734,1.56028442909,113.859514356,26.3765,107.82145908,0.835828,0.0082133,20,306.681551874
35.1863,773.703148616,458.756738797,283.022668351,932.610360599,0.924640864421,0.808156,0.808603395945,0.922337,-0.995751,71.0046196278,21,0.0601656146302,185.037681143,72.2603703548,27.6112,149.559355774,0.709064,0.00937509,21,217.002634938
37.826,106.740653985,370.094886454,-121.446042369,387.370407736,1.04346759807,0.934562,0.934990816141,1.04135,-1.12518,3.15206131743,22,0.065425579462,140.42695644,45.1546791171,28.8896,150.762418864,0.815574,0.0120166,22,191.76836749
39.4384,281.994423345,311.27371587,177.136271773,588.953764117,1.14327933252,1.03916,1.03967059477,1.14103,-1.23383,-26.9438143028,23,0.0688430987582,83.8097523324,108.118777602,30.2017,115.788982953,0.814687,0.0127408,23,159.961482263
41.1885,48.1307550111,314.324032867,-5.00896795067,522.017838643,1.25924715877,1.15924,1.15990000087,1.25653,-1.35676,1.54025624697,24,0.0772874670221,68.9834858211,43.0425853276,31.5648,117.028834012,0.542837,0.0169946,24,169.512793876
42.8754,295.973088286,192.191728338,244.0108437,351.392805881,1.37872247874,1.28574,1.28620281487,1.37662,-1.49522,-26.2928042967,25,0.076167821797,23.8332975724,119.468409157,32.6617,61.9549275045,0.846592,0.0152744,25,45.7008020704
44.5097,267.896604921,337.711702987,28.7639738101,986.11284922,1.50704007205,1.41811,1.41866120801,1.50423,-1.62444,44.5316144995,26,0.0847427610338,163.070600864,98.2129012807,33.8351,96.6126109963,0.834407,0.0188788,26,164.27548193
46.1191,186.816797234,387.623166739,19.9641877501,465.236460236,1.64448578136,1.56252,1.56313844385,1.64244,-1.78011,33.1055068535,27,0.0890339423518,129.034034898,77.04579081,34.9005,118.757797035,0.809679,0.0219216,27,246.954033341
47.5655,284.066973498,309.908806908,64.4169029737,839.261317267,1.80358624634,1.72562,1.72645944239,1.80086,-1.94327,6.7382452586,28,0.102321147143,121.446249717,102.731753633,35.9653,107.072031404,0.913203,0.0308863,28,183.220622986
49.0238,231.502128782,281.642923102,159.741024637,297.404817283,1.95478200006,1.88374,1.88458137669,1.95283,-2.1094,60.1902647427,29,0.109692798061,25.8687827706,107.257762646,37.0852,83.4554245471,0.946814,0.0352491,29,157.467955261
50.2146,262.393564183,372.446601257,122.223963075,405.662082302,2.11034860844,2.04728,2.04825655366,2.10815,-2.26899,13.2245565357,30,0.112838875595,65.1803985124,103.081790921,38.0723,129.982579225,0.892318,0.038064,30,165.608862034
51.4151,540.744826635,323.147128332,34.3458003434,957.671372843,2.24462279925,2.18329,2.18449037996,2.24248,-2.40415,-42.4201933866,31,0.12454426737,302.986887317,90.5803769114,39.1458,128.691114352,0.86771,0.0491381,31,198.237985497
52.6601,830.669002749,307.196470767,279.403635515,990.116351214,2.39632203933,2.33971,2.34104307211,2.39429,-2.56032,1.31902558772,32,0.128523246294,228.413776714,102.401093231,40.0061,116.781889104,0.848794,0.0485755,32,140.92063731
53.9199,315.473723052,331.433132639,67.5361672499,962.697224499,2.52047111626,2.46903,2.46980820063,2.51887,-2.68908,200.805163427,33,0.134881777109,160.862047412,101.550032691,40.9562,61.3195934014,0.881238,0.0542641,33,287.52181311
55.0864,148.110555355,253.953845245,24.6367407238,393.029931586,2.64094702699,2.59209,2.59331007872,2.63948,-2.8146,58.9514983579,34,0.145817436321,120.017828097,68.6797650249,41.9344,73.4859396203,0.819327,0.0636022,34,186.935316925
56.1951,32.642559266,354.113194458,-52.0116597915,376.900952652,2.80368882142,2.75884,2.76008223152,2.80208,-2.97461,75.3253597001,35,0.148990467988,92.3285655191,24.789713292,42.912,100.514102928,0.784374,0.0642721,35,218.750530773
57.2633,118.829395376,303.20797159,-51.3600314568,369.566323564,2.95298231081,2.90889,2.91000530705,2.95148,-3.13107,-12.6691423615,36,0.163037758397,120.551360858,61.7059547295,43.8744,102.527379129,0.835261,0.0817341,36,168.041041452
58.1662,227.411714459,270.416535711,8.99258728278,412.988058778,3.10551659657,3.06493,3.06635945784,3.10433,-3.30226,24.0350585777,37,0.170784720363,122.804114669,89.7435009568,44.817,104.371943453,0.834031,0.0878297,37,167.961402604
58.9572,279.062502134,236.033622534,196.928341561,403.460022689,3.26553246089,3.22858,3.23009475861,3.26366,-3.46503,0.567157337174,38,0.180269706083,38.8993132262,114.510102765,45.7854,86.758373044,0.925368,0.101322,38,143.79289574
59.8601,221.556631507,342.193587101,146.064049033,285.804099189,3.43184610568,3.39651,3.39780170311,3.43064,-3.63478,83.3439903588,39,0.178665714724,32.2208158836,112.942684126,46.6153,84.3489547513,0.893484,0.0950245,39,200.769893104
60.6114,111.733218122,278.621277598,12.8492559806,301.195972618,3.6159000409,3.5859,3.58776825497,3.61472,-3.83051,27.9092919181,40,0.188840123429,97.533639483,53.3187126628,47.4365,90.4250188163,0.86024,0.107459,40,173.155488699
61.3672,229.019367741,372.166772904,41.5394286546,381.020202637,3.7941379249,3.76785,3.76924657883,3.79341,-4.02186,61.0194543524,41,0.197701116901,75.5334927869,93.4839032854,48.3564,102.053859976,0.890329,0.114003,41,189.003524436
62.2683,84.9113653887,313.7018149,30.0687342505,291.873513691,4.0213576066,3.99543,3.99769097391,4.02003,-4.27113,12.5572977949,42,0.206370008371,69.858935667,50.3858568912,49.1626,97.7613540677,0.874274,0.120671,42,130.605568554
63.2133,147.989228919,221.687947942,36.0841615206,316.598258719,4.19082061396,4.16602,4.16838276792,4.18907,-4.4555,18.0065035325,43,0.218033283144,84.2620228337,76.9165931314,50.0035,59.9297970203,0.919956,0.139059,43,121.992480407
64.0361,199.398322882,233.936779276,61.6202479801,464.294503207,4.42814030864,4.40759,4.40946906066,4.42759,-4.70782,4.95667451409,44,0.225677645934,61.3962094644,100.677615186,50.8436,68.4448050794,0.911558,0.142874,44,110.612344406
