AverageAction,StdReturn,MaxReturn,PolicyRegParamNorm,AverageAbsQ,StdEsReturn,MaxEsReturn,AverageReturn,AverageEsReturn,MinEsReturn,AverageAbsQYDiff,Epoch,AverageAbsY,Iteration,AverageDiscountedReturn,QFunRegParamNorm,AverageQ,AverageY,AverageQLoss,MinReturn,AveragePolicySurr
0.589749,0.0823563053539,-6.87936570505,19.6533,0.414258,4.45522051947,5.59011809738,-7.17980774133,-9.79443609894,-20.3557518866,0.762144424477,9,0.58708212313,9,-6.12766093222,19.4775,0.286801,0.473019396949,0.704993,-7.40367848717,-1.10628
0.994734,0.184852442131,-6.00091327783,20.889,0.195697,7.85082139719,53.06467746,-6.70558780321,-3.57928346826,-11.0525052969,0.103126397216,10,0.2017591429,10,-6.25759526912,19.6204,0.0544855,0.0556927737782,0.027386,-7.25235852075,-0.224838
0.942323,0.967161719096,-3.65372061566,21.9806,0.169621,2.56223261464,1.17429183073,-6.59319502713,-6.64244770966,-12.0454268098,0.0483876038148,11,0.172159118248,11,-5.49191651757,19.6942,0.118913,0.119537212133,0.00410734,-8.7252337494,-0.191746
0.985829,29.470211787,100.402975887,23.5505,0.186636,31.1192366487,22.1271417175,-93.2146665039,-25.5694232153,-86.4399244436,0.0376153982027,12,0.188497407579,12,-30.1341381711,19.8507,0.0632763,0.0636397074329,0.00245828,-133.932924695,-0.134173
0.863367,10.7220591043,-1.11172904779,25.1913,0.219388,16.1985726519,-21.9319786936,-18.3962444964,-40.3425838761,-81.9956203542,0.0372642021396,13,0.221481195742,13,5.13874189865,20.1281,0.0374838,0.0378032124801,0.00244503,-63.3871064803,-0.154284
0.718171,46.5389130903,377.144186963,26.8765,0.267991,112.102218741,307.679502384,297.678981515,34.532759049,-26.0744870516,0.0378886989658,14,0.270076917427,14,109.331172953,20.5245,0.107408,0.1077651569,0.00260761,86.8039510613,-0.258261
0.808722,20.3337124573,159.328949791,28.1087,0.349193,122.915915753,316.777702977,100.307541933,167.126222612,-11.2531414914,0.040132019786,15,0.351977492507,15,61.03969322,21.1782,0.201052,0.201444115388,0.0033676,71.3006951308,-0.364205
0.811456,25.6479346508,204.950951193,29.0029,0.442253,101.462845299,354.162305209,79.0718401597,231.620705397,98.7859519332,0.0420509414331,16,0.445097871877,16,57.6878471298,21.9704,0.310146,0.310565854299,0.00369854,48.2637777811,-0.482333
0.784402,47.2036367786,374.30212776,29.8232,0.542997,102.308143925,317.024999155,89.0013394611,122.087345779,15.3518150364,0.0456968694223,17,0.545763418847,17,60.3267920673,22.9543,0.413154,0.413464441746,0.00515978,49.8719323644,-0.580797
0.746012,124.105042114,468.705367057,31.2778,0.63535,85.4713088576,324.162359474,192.945435216,193.307786231,92.5205850651,0.0477935843881,18,0.638054113978,18,76.9438904241,23.9589,0.510692,0.511087197397,0.00555371,72.5111301053,-0.679582
0.890646,105.611814851,593.532461759,33.1528,0.726057,98.4818723285,328.140589512,295.434628472,133.091791543,58.5913160584,0.050157666775,19,0.728556494357,19,98.4511448288,25.1395,0.612343,0.612603135376,0.00671898,62.6452864884,-0.780672
0.951821,18.6027376891,322.587280504,35.1755,0.807462,73.1315526575,297.896785141,239.059549638,186.77996504,112.167991172,0.05221844518,20,0.809720388438,20,108.76175425,26.2879,0.697235,0.697407713555,0.00724301,211.589726927,-0.858349
0.827411,228.791797637,902.382383742,36.8537,0.903435,94.518559087,305.823024876,394.272411925,126.308534854,13.4889223727,0.0569280180084,21,0.905784551497,21,90.5759407633,27.4318,0.796301,0.796724755991,0.00902919,41.4875685085,-0.970114
0.877258,101.202607234,611.295329013,39.172,1.00265,125.118666195,325.961358009,284.913856607,171.809484899,11.697764926,0.0641346140324,22,1.00491254779,22,97.2644541907,28.756,0.901919,0.902301293908,0.0112393,18.9810905784,-1.09257
0.800972,171.743053432,706.683173951,41.0349,1.12014,185.56953091,489.133472332,282.708670989,120.732125127,3.66806901858,0.0688632427069,23,1.12227544159,23,81.620335988,30.0233,1.02578,1.0264655782,0.0129631,26.393938664,-1.2154
0.782009,140.575999766,469.629281531,42.6845,1.23392,119.600826745,392.922842221,224.646565262,265.437465525,78.3126576961,0.0761274954881,24,1.23629002788,24,86.2494464919,31.2942,1.1412,1.14180139862,0.0158716,24.5474864876,-1.32957
