Iteration,AverageAction,AveragePolicySurr,AverageQ,AverageEsReturn,AverageReturn,MaxEsReturn,AverageAbsY,PolicyRegParamNorm,AverageAbsQ,MinEsReturn,AverageQLoss,Epoch,StdReturn,MaxReturn,StdEsReturn,QFunRegParamNorm,AverageDiscountedReturn,MinReturn,AverageAbsQYDiff,AverageY
9,0.554937,-0.993115,0.49125,-9.87519493414,-8.12396578504,-0.305469952037,2.26007240901,11.7806,0.678548,-18.5041172481,5.71166,9,0.0390840104566,-8.00254304479,3.33849111842,11.5826,-7.52831795225,-8.24807009724,2.13495460634,1.92748740811
10,0.998528,-1.39023,0.729677,-7.7318607488,-8.31996133675,0.0594240115936,1.3025582697,12.5203,1.19982,-16.3220428406,0.365911,10,0.0818627050329,-8.07707047673,1.70942699181,11.8838,-8.03130680324,-8.51289767273,0.400333335099,0.749630515481
11,0.946982,-0.510051,-0.163123,-6.68294476482,-4.65628918095,42.8067141466,1.33647564431,13.0312,1.32512,-21.0544736412,0.0495295,11,0.675397845426,-3.22081281801,6.91393831963,12.0567,-0.10513472245,-7.03886096957,0.168431033302,-0.161658419584
12,0.965627,-0.957459,-0.165154,-15.3756599162,163.234223183,1.32606291509,1.72934297879,13.5199,1.7191,-51.6677679928,0.0565106,12,148.926170965,431.096726863,15.0215270786,12.4542,46.6274679725,0.608885022746,0.178470706449,-0.163213918466
13,0.967485,-1.40504,0.0631938,60.4944814599,107.315227409,210.285767305,2.15666617255,14.1327,2.14666,-17.3604960372,0.0889789,13,57.8312155869,390.310979932,76.1189285418,13.029,62.6713987402,62.8716664431,0.216043145918,0.0653864820443
14,0.791192,-2.07229,0.57164,194.990038051,184.161473551,384.887624021,2.66159018086,14.4307,2.64914,-12.6899353621,0.12223,14,146.606867155,560.122673683,130.553727767,13.6972,77.355196533,12.3870106914,0.241593448634,0.57305166883
15,0.727748,-2.76249,1.21006,108.621985406,216.506128811,282.11146378,3.22821608311,15.1265,3.2121,-17.6607638581,0.18929,15,214.881701538,994.727734798,112.567922599,14.5005,75.7782301748,55.2293782121,0.287664547125,1.21194764807
16,0.776517,-3.61079,1.96656,199.98663503,133.109384132,538.610492733,3.89947977254,15.8335,3.88278,47.3408687913,0.258163,16,109.760239523,501.987865178,198.157042638,15.2727,67.9606377342,55.1850214392,0.320688390998,1.96917398834
17,0.830659,-4.58529,2.90703,214.793649045,400.931387272,404.458915318,4.67953018212,16.6797,4.65965,16.8508038576,0.393651,17,114.495028297,692.176397759,158.573689916,16.1708,123.156340347,137.749668266,0.367961424068,2.90972762259
18,0.792601,-5.51465,3.81643,152.170720752,37.4562327848,384.192375294,5.46178692812,17.4276,5.43801,21.9743418777,0.52187,18,3.9188381311,45.7543752774,141.500333771,17.0765,35.3022762129,28.731764131,0.412663481233,3.81828734088
19,0.95404,-6.4954,4.75476,293.144648328,235.622969716,525.448205081,6.31247618297,18.1486,6.28454,40.620493536,0.569633,19,175.878181444,555.67651443,198.445848045,17.9207,83.8244694418,66.0462288707,0.435004586492,4.75750961074
20,0.855566,-7.52305,5.77099,192.932910072,109.966228964,483.812349613,7.20966313005,18.6447,7.18421,93.1951273551,0.788033,20,75.8060538194,568.658828918,146.715228347,18.6948,64.7717076981,61.509860448,0.478148452251,5.77357451356
21,0.823981,-8.37585,6.70096,198.018445443,409.969431655,416.261800479,8.07523427747,19.197,8.04986,11.1016205819,0.902707,21,311.42303332,951.059187711,149.817482095,19.5157,87.1801558021,78.12986562,0.503590548072,6.70314530858
22,0.842821,-9.37696,7.65833,153.786018423,436.76384497,467.164645584,9.02284375673,19.6339,8.99757,14.4271158825,1.08396,22,251.359652315,864.373964877,163.033107161,20.2909,95.7669967743,89.9102710176,0.550807609366,7.66147697169
23,0.836373,-10.1829,8.41448,91.1306257873,329.759607326,270.955425593,9.75980067102,20.2025,9.73283,25.2389277738,1.195,23,74.1996901814,503.235581093,83.2329745314,21.0141,118.449918447,157.418904459,0.585748819367,8.41727690909
24,0.766854,-11.2567,9.44871,186.492277323,335.354346428,310.553841417,10.7834434259,20.6631,10.7563,42.0950347692,1.64492,24,213.730054099,949.220370067,107.112021488,21.5397,92.0588373486,83.2246665576,0.652818285969,9.45339850742
25,0.771087,-12.6163,10.8201,295.847061767,287.597669728,357.222820094,11.9487595017,21.0862,11.9227,185.977130312,1.76458,25,172.566036467,956.807329849,60.955730751,22.1347,98.4874863453,40.0908270409,0.676990912598,10.825264159
26,0.696535,-14.1116,12.271,201.781719673,372.416371759,398.659440289,13.2874585214,21.5575,13.2615,42.5740054169,2.0607,26,287.249585551,921.887187571,123.213173109,22.7104,80.1201894552,50.2732088562,0.71661172402,12.2789854405
27,0.506402,-15.1803,13.3651,127.924700621,559.744626316,380.194856223,14.25858218,22.0816,14.2378,36.7335756834,2.31882,27,311.737590767,1009.99860119,128.19716337,23.2592,123.579813031,61.2946780746,0.760540505019,13.3700501067
28,0.71521,-16.3954,14.5833,203.044597027,306.089630523,270.15518675,15.403234459,22.4694,15.3828,54.4675486602,2.49472,28,78.2780622428,448.37697255,62.8550326152,23.8054,112.242009431,85.4620290807,0.791435006346,14.590080398
29,0.679617,-17.6281,15.7954,145.710630043,324.077082035,381.676303035,16.5856290014,23.0225,16.5685,7.20281887484,2.95495,29,209.76236044,580.415245925,136.420350075,24.4357,56.4462615651,16.5748531336,0.859417731421,15.803145217
30,0.658854,-18.9953,17.0991,187.741661714,394.024985982,346.324729697,17.8649657703,23.4546,17.847,10.7030267282,3.89157,30,76.6762468497,656.373335576,125.939341554,25.0685,133.268858987,308.29834618,0.951658252174,17.1075095077
31,0.708629,-19.9282,18.0711,183.183790052,171.026348024,284.758919073,18.8001930436,23.874,18.7832,49.8855808277,3.65929,31,140.230585068,728.418290123,95.7751780321,25.5272,84.0644951726,-6.34136439182,0.961376891759,18.0779035047
32,0.619872,-21.2071,19.3001,145.572234687,306.783596793,268.938817769,20.018385253,24.2394,20.0014,36.3436988745,3.5385,32,69.0575062191,421.618650021,82.8405909773,26.11,126.819860011,46.47466963,1.00361262768,19.3074114778
33,0.684349,-22.5713,20.6916,174.692508468,279.803877821,309.738775052,21.3859135815,24.6118,21.3714,39.5455778223,4.15273,33,125.091547816,893.773160008,99.1413363048,26.6298,121.162612278,147.388223209,1.08314986582,20.6988191459
34,0.738521,-23.4717,21.652,118.580876784,244.799986363,287.104672548,22.3242634403,24.9867,22.301,7.01367700725,4.778,34,134.981061941,948.719458023,97.8349576997,27.2242,102.150707717,45.2198423668,1.14457647878,21.663550379
35,0.472034,-25.0189,23.0745,106.687855508,433.489515746,305.409112979,23.7265497532,25.2544,23.7063,-87.0607737285,5.37955,35,336.940347916,1035.59587151,146.248785138,27.7842,105.631372598,95.6939096717,1.2036136246,23.0820681586
36,0.731704,-26.242,24.2959,127.64680846,449.319673249,229.26911718,24.9800618928,25.5158,24.9545,-20.3902628793,6.01889,36,187.883165007,758.974416198,104.53309749,28.451,78.5293164227,164.915351151,1.29188088678,24.3051639848
37,0.843173,-27.4014,25.2816,127.769993972,97.7467184827,191.630652025,25.9879920255,25.7994,25.9699,43.4480683155,6.39151,37,222.813460247,694.571190556,48.4955762604,29.0029,17.3414216288,-123.708049439,1.34169754128,25.2871993177
38,0.756805,-28.8004,26.676,129.51683166,77.6269847263,296.095361169,27.36809636,26.0429,27.3361,-14.7491017328,7.40641,38,186.899181005,856.239023861,127.878742013,29.6407,28.6533744561,-30.4581200249,1.43853835775,26.6889374226
39,0.818379,-30.0595,27.8984,127.077825583,209.218796151,318.335129895,28.6044107948,26.3719,28.5671,-9.69188319748,6.8128,39,51.55500614,429.597267361,115.838174207,30.3089,86.7323055097,137.385015339,1.46749695751,27.9105325851
40,0.8144,-31.5647,29.3372,153.400475751,200.534327504,235.841723885,30.0298885012,26.6873,30.0025,0.913092933148,7.14458,40,51.5224938425,375.652745809,92.1268233801,30.8526,100.61546277,132.558723663,1.51046943106,29.3514481109
