MaxEsReturn,Epoch,AverageQ,StdReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AveragePolicySurr,Iteration,AverageQLoss,QFunRegParamNorm,AverageAbsQYDiff,MaxReturn,AverageAbsY,MinEsReturn,AverageAbsQ,AverageAction,AverageReturn,AverageEsReturn,AverageY,AverageDiscountedReturn
13.6786363169,9,-1.34814,2.22549677119,-5.00309198621,11.7091,4.06586582528,0.61602,9,20.3715,11.4918,4.09018119216,4.2645958899,2.83972188623,-20.715855916,1.51271,0.19874,-2.76172014437,-4.19122641959,2.74204097433,-1.17236628864
1.27870002541,10,1.16408,0.0745233652923,-5.80880516084,12.4955,2.87207716275,-1.5128,10,0.467725,11.7849,0.425990560362,-5.42390782181,1.43966672591,-16.2797981978,1.33653,0.999503,-5.62267766915,-5.91370330469,1.20183332798,-5.43253849855
2.30157015521,11,0.59571,0.588554010489,0.780510448461,12.8083,1.49659592718,-0.810379,11,0.0713279,12.0089,0.202577746548,3.43820239363,1.33390397532,-8.36946865154,1.31796,0.999999,2.02241773913,-6.34193086562,0.597512621786,2.78390001815
10.8063193484,12,0.432942,0.549306297008,0.68195464786,12.8102,3.93526562001,-1.18791,12,0.0897185,12.5924,0.222258227947,3.38567904966,1.78386235455,-6.07113919919,1.77196,1.0,2.14645158099,1.22649287328,0.435426282754,2.88242156299
7.50607943602,13,0.489915,0.594103383631,0.759261674543,12.8069,3.4892444785,-1.34415,13,0.114176,13.469,0.250282493721,3.42358572965,2.17998582417,-5.77828522042,2.16772,1.0,2.09880185596,0.991167321336,0.491601318238,2.84808155072
11.4535725259,14,0.731007,1.23212940967,-11.0444706648,13.0489,6.3734212699,-2.29955,14,0.134028,14.4345,0.269485970526,-5.9339051801,2.56294269383,-12.2074084112,2.55082,1.0,-8.57861834952,-6.35274155361,0.73291709888,-5.24894259296
7.3723209338,15,1.53336,1.31700093139,-11.3773247417,13.0753,4.86805450696,-3.06534,15,0.173635,15.4383,0.296496478328,-5.99210560388,3.07924596178,-14.5680489485,3.06674,1.0,-8.66614734769,-8.74950688737,1.53577475558,-5.3131678012
304.818450721,16,2.18745,20.8062972615,53.8919345994,13.4247,105.786916759,-4.04834,16,0.176,16.1731,0.296382693131,127.873389005,3.58842862094,-23.0165013958,3.57619,0.999998,80.5216184921,63.8199648411,2.18910366479,58.5682191622
728.277931837,17,3.52505,5.07728328045,57.0218686874,14.3647,282.132286396,-5.31853,17,0.211627,16.888,0.306894545555,78.6980293845,4.57095989974,-5.78195483808,4.55457,0.625876,67.9722199243,288.919157674,3.52678044244,43.6870635169
382.128106715,18,4.50381,51.7210790248,330.253638495,15.3016,146.20608428,-6.26164,18,0.261002,17.6168,0.337551650805,606.7844773,5.39853498888,13.4842962003,5.3854,0.706559,400.539615608,141.35851162,4.50561158884,112.510741369
