AverageQLoss,AverageReturn,AverageAbsQ,AveragePolicySurr,MaxEsReturn,QFunRegParamNorm,StdReturn,MaxReturn,AverageY,Epoch,AverageAction,AverageAbsQYDiff,Iteration,AverageAbsY,MinEsReturn,AverageDiscountedReturn,MinReturn,PolicyRegParamNorm,StdEsReturn,AverageEsReturn,AverageQ
20.8332,-3.10582028074,1.34656,0.534304,12.9446216102,11.4911,1.45808312866,3.82187907005,2.7677399077,9,0.202256,3.96163882306,9,2.84168463029,-18.5866933555,-1.43105098494,-4.84639275887,11.7102,3.91182159466,-4.20051017045,-1.19238
0.436453,-8.25908864115,1.34974,-1.57132,1.5246387368,11.8332,0.068018597604,-8.06315740019,1.22720551701,10,0.999984,0.405768649948,10,1.45472731124,-16.9993422899,-7.97553766385,-8.44023137236,12.4043,2.71513998489,-8.02591291095,1.19202
0.05864,-8.2606812413,1.33188,-0.587286,-5.42427707438,12.0927,0.0665613821963,-8.06810629919,0.510953427238,11,0.999998,0.181742214447,11,1.34585889567,-17.6157237639,-7.97707187335,-8.43584518155,12.4275,1.30487766872,-7.71562296394,0.509862
0.0688999,-6.06188904087,1.863,0.31533,-3.90181954042,12.7413,0.0700146322647,-5.83975101033,-0.217478836046,12,1.0,0.199312617686,12,1.86764614007,-17.0898071763,-5.85527006575,-6.24839135704,12.6976,1.55912682399,-6.56525604109,-0.217283
0.0905264,-6.05692007128,2.30018,1.41063,-3.89295906704,13.7265,0.0710151177521,-5.82752259477,-1.05408732559,13,1.0,0.223329848204,13,2.30844906132,-6.71598461407,-5.85041896977,-6.25459578754,12.6978,0.506553718531,-5.50023464188,-1.05343
0.0951487,-6.05954203413,2.67571,2.79349,-0.543508523165,14.6249,0.0678296155844,-5.81533428185,-2.09059947466,14,1.0,0.224653688271,14,2.68718522148,-9.49090919507,-5.85284161167,-6.26434567659,12.6975,0.67707361318,-5.54325882962,-2.08761
0.0931122,-6.05986597157,3.25472,3.92906,-4.37509695666,15.4858,0.0720934322589,-5.85037815547,-3.18292974276,15,1.0,0.221556192018,15,3.26637635684,-7.43910340909,-5.85330495447,-6.25403867735,12.6971,0.469809468356,-5.62114326672,-3.17914
0.0841794,-6.05746006513,4.03019,4.63512,-0.225331247718,16.1487,0.0718529827339,-5.82677091968,-4.02798428826,16,1.0,0.203582388222,16,4.03457960672,-8.04232531387,-5.85093573604,-6.25538610506,12.6974,0.626682355356,-5.54685518075,-4.02486
0.0756235,-6.05724775229,4.54333,4.98399,-1.90597207049,16.6827,0.0710448933461,-5.83638066572,-4.54358666787,17,1.0,0.190434873502,17,4.54594434609,-7.03136958515,-5.85069862796,-6.24430348485,12.6988,0.576188894023,-5.46607977159,-4.54152
0.0681709,-6.05883661155,4.80764,5.07181,0.946467511236,17.1909,0.0718049199115,-5.81807866967,-4.80817623987,18,1.0,0.179306872255,18,4.80981266871,-7.58532198936,-5.85223549692,-6.23865340501,12.7013,0.704893336259,-5.61065312453,-4.80654
0.0675516,-6.05817625889,4.88595,5.04211,2.01989182362,17.6852,0.0707177010626,-5.8590718993,-4.88626229455,19,1.0,0.173439318415,19,4.88782838834,-7.14222249034,-5.85158152797,-6.24061984407,12.7021,0.769344042578,-5.56545276235,-4.88506
0.0702165,-6.06155350807,4.90048,5.00781,-3.89422752821,18.1443,0.0701282716851,-5.84429056504,-4.90050626066,20,1.0,0.168776224389,20,4.90226215058,-9.74121773426,-5.85494212428,-6.25931946768,12.6934,0.591573218893,-5.55609399346,-4.89972
0.0669739,85.9741026402,4.8246,3.88177,88.4286410665,18.6512,13.2728324617,124.799481932,-4.82419407979,21,0.67685,0.16908020928,21,4.82639410444,-6.26515905601,57.553762528,59.1460360822,14.1084,27.138250533,7.49971139041,-4.82338
0.0911196,91.8272122527,3.98207,2.72829,305.762512619,19.3417,13.0299079657,123.402920712,-3.9667936098,22,0.688088,0.191572189201,22,3.9832370178,47.8979492999,58.1899841409,71.9159911098,15.056,88.0177453284,143.557706529,-3.96799
0.0834611,82.0403022042,3.01978,1.68044,229.508393017,19.9389,13.2252271758,110.564017425,-2.9687736521,23,0.665078,0.185489695618,23,3.02477984192,81.8047455689,57.339921283,61.1244798509,15.6207,65.678293071,137.250361973,-2.96981
0.0966756,41.3791402112,2.44625,0.714669,350.692326924,20.5543,33.6979423947,299.175453767,-2.12350062434,24,0.285869,0.19862593422,24,2.45831284444,335.333729099,34.6613015336,7.71879628548,16.6375,6.5633205756,341.641394718,-2.12467
0.150336,146.256263146,2.27621,-0.303968,350.727487509,21.2529,100.526526834,497.431190398,-1.28849369584,25,0.589927,0.24083171552,25,2.29621251684,7.62683157321,62.6803261868,41.232159783,17.6311,117.811287894,111.944972835,-1.28961
0.20524,545.223076969,2.36988,-1.39578,498.142967002,21.9495,243.461927148,1141.83916237,-0.317357368633,26,0.5996,0.276304646223,26,2.39690247249,109.220725854,114.44198299,242.874727626,18.4315,148.016220005,355.458336737,-0.319675
0.247729,265.559111103,2.81675,-2.62871,437.108473302,22.6212,26.4837452347,334.759279165,0.809110578476,27,0.765411,0.301129443807,27,2.84340745043,37.8025272592,126.543237614,211.542558762,19.1362,164.279819674,251.836959314,0.806943
0.345403,753.173166552,3.47383,-3.76728,425.347856644,23.2781,243.403330311,938.170233294,1.90314571903,28,0.661497,0.337400498177,28,3.49932376075,184.858088306,80.8149843029,258.497815514,19.7269,82.1388498999,291.91724585,1.90059
0.443119,338.982597401,4.19408,-4.70486,432.912463014,23.9515,101.133556162,669.695374889,2.89546402171,29,0.673542,0.371200443826,29,4.21801995868,52.846931008,110.477410383,143.033346057,20.2143,143.835715237,223.35976786,2.89239
0.492443,276.840218942,4.9611,-5.62147,524.823833781,24.5789,48.0210584067,393.504999158,3.81693218344,30,0.701404,0.393793076279,30,4.97868773574,70.0554136794,117.475684851,147.696423405,20.795,162.584249549,291.266379094,3.81421
0.69434,783.084789158,5.73203,-6.54332,262.407890079,25.31,221.148064704,989.015006642,4.65553286592,31,0.622998,0.440826236886,31,5.7532020898,61.1182263452,94.5543717104,357.40999783,21.4417,73.6161591047,151.463126132,4.6525
